02/07/2012,PR00293,PR00293-1,75,6:48:00 AM,n_a,1,2,0,11,0,2,0,11,0,6:58:00 AM,0,No,1 RESQ in time 1 and in 0-50 distance; 1 RESQ in time 2 and in 0-50 distance,75,31/07/2012
01/07/2012,PR01002,PR01002-1,98,9:00:00 AM,n_a,1,1,0,15,1,1,0,15,1,9:10:00 AM,1,Yes,3 RESQ,98,31/07/2012
01/07/2012,PR01009,PR01009-1,98,8:15:00 AM,n_a,1,1,1,14,2,1,1,14,2,8:25:00 AM,0,Yes,3 RESQ,98,31/07/2012
01/07/2012,PR01010,PR01010-1,98,5:25:00 AM,n_a,1,1,1,12,3,1,1,12,3,5:35:00 AM,0,Yes,,98,31/07/2012
01/07/2012,PR01071,PR01071-1,98,7:37:00 AM,n_a,1,1,0,14,3,1,0,14,3,7:47:00 AM,0,Yes,1 RESQ,98,31/07/2012
01/07/2012,PR01072,PR01072-1,98,6:47:00 AM,n_a,1,1,0,12,3,1,0,13,3,6:57:00 AM,0,Yes,1 RESQ,98,31/07/2012
01/07/2012,PR01073,PR01073-1,98,6:15:00 AM,n_a,1,1,0,12,3,1,0,12,3,6:25:00 AM,0,Yes,1 RESQ,98,31/07/2012
01/07/2012,PR01103,PR01103-1,75,5:35:00 AM,n_a,1,2,0,12,3,2,0,12,3,5:45:00 AM,0,Yes,,75,31/07/2012
01/07/2012,PR01105,PR01105-1,75,7:43:00 AM,n_a,1,1,0,14,1,1,0,14,1,7:53:00 AM,0,Yes,2 RESQ in time 1 and in 0-50 distance,75,31/07/2012
01/07/2012,PR01108,PR01108-1,75,8:14:00 AM,n_a,1,1,0,14,0,1,0,14,0,8:24:00 AM,0,Yes,,75,31/07/2012
01/07/2012,PR01125,PR01125-1,59,5:50:00 AM,n_a,1,3,0,11,3,3,0,11,3,6:00:00 AM,1,Yes,no flag,59,31/07/2012
01/07/2012,PR01181,PR01181-1,59,7:42:00 AM,n_a,1,3,0,11,2,3,0,11,2,7:52:00 AM,1,Yes,no flag,59,31/07/2012
01/07/2012,PR01182,PR01182-1,59,5:15:00 AM,n_a,1,1,0,11,3,1,0,11,3,5:25:00 AM,1,Yes,no flag,59,31/07/2012
01/07/2012,PR01183,PR01183-1,59,8:09:00 AM,n_a,1,3,0,16,2,3,0,16,2,8:19:00 AM,1,Yes,no flag,59,31/07/2012
01/07/2012,PR01184,PR01184-1,59,6:52:00 AM,n_a,1,3,0,12,3,3,0,12,3,7:02:00 AM,1,Yes,no flag,59,31/07/2012
01/07/2012,PR01185,PR01185-1,59,6:20:00 AM,n_a,1,3,0,12,2,3,0,12,2,6:30:00 AM,1,Yes,no flag,59,31/07/2012
01/07/2012,PR01191,PR01191-1,75,4:56:00 AM,n_a,1,2,0,12,3,2,0,12,3,5:06:00 AM,0,Yes,,75,31/07/2012
01/07/2012,PR01192,PR01192-1,75,6:25:00 AM,n_a,1,2,0,12,3,2,0,12,3,6:35:00 AM,0,Yes,,75,31/07/2012
02/06/2012,PR01602,PR01602-1,69,7:26:00 AM,n_a,1,1,0,11,2,2,0,11,2,7:36:00 AM,0,No,wind gusts to 3; RESQ in period 3 0-50m calling; Possible HETH in period 2 singing >50m,69,31/07/2012
04/06/2012,PR01603,PR01603-1,69,5:45:00 AM,n_a,1,0,0,5,0,1,0,5,0,5:55:00 AM,0,No,RESQ calling 0-50m period 1,69,31/07/2012
02/06/2012,PR01604,PR01604-1,69,5:00:00 AM,n_a,1,1,0,11,0,1,0,11,1,5:10:00 AM,0,No,"YRWA possibly heard in first period, 0-50m",69,31/07/2012
03/06/2012,PR01607,PR01607-1,69,7:11:00 AM,n_a,1,0,0,6,2,0,0,6,2,7:21:00 AM,0,No,wet area at S edge of PC,69,31/07/2012
03/06/2012,PR01609,PR01609-1,69,9:00:00 AM,n_a,1,0,0,10,2,0,0,10,2,9:10:00 AM,0,No,2 RESQ call in first period 0-50m,69,31/07/2012
03/06/2012,PR01611,PR01611-1,69,7:49:00 AM,n_a,1,0,0,8,2,0,0,8,2,7:59:00 AM,0,No,WET SEEPAGE ARE N EDGE OF PC,69,31/07/2012
03/06/2012,PR01614,PR01614-1,69,8:25:00 AM,n_a,1,0,0,,2,1,0,,2,8:35:00 AM,0,No,temperature ~10 degrees,69,31/07/2012
04/06/2012,PR01616,PR01616-1,69,5:04:00 AM,n_a,1,0,0,5,0,0,0,5,0,5:14:00 AM,0,No,"PC mean SL ~5m in width, regenerating shrub cover",69,31/07/2012
03/06/2012,PR01619,PR01619-1,69,6:33:00 AM,n_a,1,0,0,5,2,0,0,5,2,6:43:00 AM,0,No,,69,31/07/2012
02/06/2012,PR01620,PR01620-1,69,8:03:00 AM,n_a,1,1,0,12,2,2,0,12,2,8:13:00 AM,0,No,,69,31/07/2012
02/06/2012,PR01691,PR01691-1,69,6:53:00 AM,n_a,1,0,0,11,0,0,0,11,0,7:03:00 AM,0,No,"RESQ in period 1, 0-50m; possible GRAJ calling in period 3, 0-50m; CAWA detected singing during hike to PR_`6_30",69,31/07/2012
03/06/2012,PR01692,PR01692-1,69,5:48:00 AM,n_a,1,0,0,4,2,0,0,4,2,5:58:00 AM,0,No,,69,31/07/2012
02/06/2012,PR01693,PR01693-1,69,5:48:00 AM,n_a,1,0,0,10,0,0,0,10,0,5:58:00 AM,0,No,"RESQ heard in period 1, 0-50m; river is fairly noisy",69,31/07/2012
03/06/2012,PR01694,PR01694-1,69,9:30:00 AM,n_a,1,0,0,11,2,1,0,11,2,9:40:00 AM,1,No,RESQ calling low 0-50m period 1; RESQ noisy; wind gusting to 2,69,31/07/2012
05/06/2012,PR01708,PR01708-1,69,8:32:00 AM,n_a,1,2,0,13,2,3,0,13,2,8:42:00 AM,0,No,,69,31/07/2012
05/06/2012,PR01709,PR01709-1,69,7:02:00 AM,n_a,1,2,0,12,2,3,0,12,3,7:12:00 AM,0,No,Not sure if RBGR also singing during PC,69,31/07/2012
04/06/2012,PR01710,PR01710-1,69,8:41:00 AM,n_a,1,0,0,16,0,1,0,16,0,8:51:00 AM,0,No,"No CAWA PB; RESQ in period 3 0-50 m, calling",69,31/07/2012
05/06/2012,PR01791,PR01791-1,69,4:42:00 AM,n_a,1,2,0,11,2,3,0,11,2,4:52:00 AM,2,No,wind gusting to 4,69,31/07/2012
05/06/2012,PR01792,PR01792-1,69,5:23:00 AM,n_a,1,2,0,11,1,3,0,11,1,5:33:00 AM,1,No,wind gusts to 4; no flag left at site (Trapper's cabin),69,31/07/2012
05/06/2012,PR01793,PR01793-1,69,6:21:00 AM,n_a,1,2,0,12,2,3,0,12,2,6:31:00 AM,1,No,"Habitat: polygon is MA in center (grass/cattail/sedge) and SP as it transitions to forest edge (primarily MA). PC should have been in center of SP, but too wet (relocated slightly S of polygon center)",69,31/07/2012
05/06/2012,PR01794,PR01794-1,69,7:54:00 AM,n_a,1,2,0,12,2,3,0,12,2,8:04:00 AM,1,No,"wind gusting to 3/4, leaves rustling and trees squeak (not likely detecting birds >45-50m)",69,31/07/2012
04/06/2012,PR01795,PR01795-1,69,6:58:00 AM,n_a,1,0,0,3,0,0,0,3,0,7:08:00 AM,0,No,,69,31/07/2012
04/06/2012,PR01796,PR01796-1,69,7:47:00 AM,n_a,1,0,0,11,0,0,0,11,0,7:57:00 AM,0,No,,69,31/07/2012
20/06/2012,PR02204,PR02204-1,75,5:34:00 AM,n_a,1,0,0,5,0,0,0,5,0,5:44:00 AM,0,No,1 RESQ in time 1 and in 0-50 distance,75,31/07/2012
20/06/2012,PR02205,PR02205-1,75,4:26:00 AM,n_a,1,0,0,4,0,0,0,4,0,4:36:00 AM,0,No,,75,31/07/2012
20/06/2012,PR02208,PR02208-1,59,7:32:00 AM,n_a,1,0,0,7,0,2,0,7,0,7:42:00 AM,0,No,beside seismic line with lots of green alder,59,31/07/2012
20/06/2012,PR02210,PR02210-1,59,4:57:00 AM,n_a,1,0,0,4,0,0,0,4,0,5:07:00 AM,2,No,RESQ calling loudly 0-50m throughout entire PC (difficulty hearing past 50m),59,31/07/2012
20/06/2012,PR02214,PR02214-1,59,6:27:00 AM,n_a,1,0,0,6,0,0,0,6,0,6:37:00 AM,0,No,,59,31/07/2012
20/06/2012,PR02217,PR02217-1,59,9:24:00 AM,n_a,1,2,0,14,0,2,0,14,0,9:34:00 AM,1,No,localized tent caterpillar infestation within PC,59,31/07/2012
20/06/2012,PR02281,PR02281-1,59,8:35:00 AM,n_a,1,2,0,10,0,3,0,10,0,8:45:00 AM,1,No,CAWA heard singing before PC (0-50m); COLO heard after PC (noise up to 3/4 near end due to wind),59,31/07/2012
20/06/2012,PR02291,PR02291-1,75,6:45:00 AM,n_a,1,0,0,3,0,0,0,3,0,6:55:00 AM,0,No,,75,31/07/2012
20/06/2012,PR02292,PR02292-1,75,7:51:00 AM,n_a,1,0,0,,1,0,0,,1,8:01:00 AM,0,No,missing temperature data,75,31/07/2012
20/06/2012,PR02293,PR02293-1,75,8:47:00 AM,n_a,1,1,0,16,1,1,0,16,1,8:57:00 AM,0,No,,75,31/07/2012
20/06/2012,PR02294,PR02294-1,75,6:11:00 AM,n_a,1,0,0,2,0,0,0,2,0,6:21:00 AM,0,No,,75,31/07/2012
13/06/2012,PR02301,PR02301-1,59,8:41:00 AM,n_a,1,0,0,14,2,0,0,14,2,8:51:00 AM,1,No,,59,31/07/2012
13/06/2012,PR02302,PR02302-1,75,7:50:00 AM,n_a,1,0,0,13,2,0,0,13,2,8:00:00 AM,0,No,1 RESQ in time 1 and in 0-50 distance,75,31/07/2012
13/06/2012,PR02303,PR02303-1,59,6:42:00 AM,n_a,1,0,0,12,2,0,0,12,2,6:52:00 AM,0,No,,59,31/07/2012
14/06/2012,PR02305,PR02305-1,59,5:59:00 AM,n_a,1,0,0,7,0,0,0,7,0,6:09:00 AM,0,Yes,,59,31/07/2012
13/06/2012,PR02306,PR02306-1,75,9:06:00 AM,n_a,1,0,0,13,2,0,0,13,2,9:16:00 AM,0,No,,75,31/07/2012
13/06/2012,PR02307,PR02307-1,59,5:56:00 AM,n_a,1,0,0,12,2,0,0,12,2,6:06:00 AM,0,No,Old burn with pole sapling regrowth (aspen),59,31/07/2012
14/06/2012,PR02309,PR02309-1,75,7:38:00 AM,n_a,1,0,0,7,1,0,0,7,1,7:48:00 AM,0,No,,75,31/07/2012
13/06/2012,PR02311,PR02311-1,59,7:39:00 AM,n_a,1,0,0,13,2,0,0,13,2,7:49:00 AM,1,No,,59,31/07/2012
14/06/2012,PR02312,PR02312-1,75,5:14:00 AM,n_a,1,2,0,11,1,2,0,11,1,5:24:00 AM,0,No,,75,31/07/2012
14/06/2012,PR02313,PR02313-1,75,6:24:00 AM,n_a,1,0,0,9,0,0,0,9,0,6:34:00 AM,0,No,,75,31/07/2012
13/06/2012,PR02314,PR02314-1,59,4:49:00 AM,n_a,1,0,0,11,2,0,0,11,2,4:59:00 AM,1,No,"UNK call high, thin seeet",59,31/07/2012
14/06/2012,PR02315,PR02315-1,59,8:55:00 AM,n_a,1,2,0,10,2,4,0,10,2,9:05:00 AM,1,Yes,PC terminated at 9:03 due to wind level 4 past this time-could not hear any birds past this time; no CAWA playback due to wind.,59,31/07/2012
14/06/2012,PR02316,PR02316-1,59,6:50:00 AM,n_a,1,0,0,9,2,0,0,9,2,7:00:00 AM,1,Yes,,59,31/07/2012
14/06/2012,PR02318,PR02318-1,59,5:23:00 AM,n_a,1,0,0,3,1,0,0,3,1,5:33:00 AM,0,Yes,,59,31/07/2012
13/06/2012,PR02321,PR02321-1,75,5:01:00 AM,n_a,1,0,0,11,2,0,0,11,2,5:11:00 AM,0,No,,75,31/07/2012
14/06/2012,PR02322,PR02322-1,75,5:50:00 AM,n_a,1,0,0,10,1,0,0,10,1,6:00:00 AM,0,No,1 RESQ in time 1 and in 0-50 distance; 1 RESQ in time 2 and in 0-50 distance,75,31/07/2012
14/06/2012,PR02381,PR02381-1,59,8:24:00 AM,n_a,1,0,0,13,0,0,0,13,0,8:34:00 AM,0,Yes,,59,31/07/2012
14/06/2012,PR02382,PR02382-1,59,7:32:00 AM,n_a,1,0,0,9,0,0,0,9,0,7:42:00 AM,2,Yes,"noisy oil drill, difficult hearing past 50m",59,31/07/2012
14/06/2012,PR02391,PR02391-1,75,9:03:00 AM,n_a,1,0,0,5,1,0,0,5,1,9:13:00 AM,0,No,2 RESQ in time 1 and in 0-50 distance; 1 RESQ in time 3 and in 0-50 distance,75,31/07/2012
13/06/2012,PR02392,PR02392-1,75,8:35:00 AM,n_a,1,0,0,14,2,0,0,14,2,8:45:00 AM,0,No,,75,31/07/2012
14/06/2012,PR02393,PR02393-1,75,8:30:00 AM,n_a,1,1,0,7,1,1,0,7,1,8:40:00 AM,0,No,,75,31/07/2012
13/06/2012,PR02394,PR02394-1,75,7:16:00 AM,n_a,1,0,0,13,2,0,0,13,2,7:26:00 AM,0,No,,75,31/07/2012
13/06/2012,PR02395,PR02395-1,75,6:36:00 AM,n_a,1,0,0,12,2,0,0,12,2,6:46:00 AM,0,No,,75,31/07/2012
13/06/2012,PR02396,PR02396-1,75,5:58:00 AM,n_a,1,0,0,12,2,0,0,12,2,6:08:00 AM,0,No,,75,31/07/2012
14/06/2012,PR02397,PR02397-1,75,6:58:00 AM,n_a,1,0,0,8,1,0,0,8,1,7:08:00 AM,0,No,1 RESQ in time 2 and in 0-50 distance,75,31/07/2012
17/06/2012,PR02403,PR02403-1,59,6:41:00 AM,n_a,1,0,0,10,2,0,0,10,3,6:51:00 AM,1,Yes,MAWA heard just after PC end,59,31/07/2012
17/06/2012,PR02408,PR02408-1,59,9:12:00 AM,n_a,1,2,0,12,2,3,0,12,2,9:22:00 AM,1,Yes,,59,31/07/2012
17/06/2012,PR02415,PR02415-1,75,4:54:00 AM,n_a,1,0,0,10,2,0,0,10,2,5:04:00 AM,0,Yes,,75,31/07/2012
17/06/2012,PR02417,PR02417-1,59,5:13:00 AM,n_a,1,0,0,10,3,0,0,10,3,5:23:00 AM,1,Yes,,59,31/07/2012
17/06/2012,PR02420,PR02420-1,75,6:20:00 AM,n_a,1,0,0,10,2,0,0,10,2,6:30:00 AM,0,Yes,1 RESQ in time 2 and in 0-50 distance,75,31/07/2012
17/06/2012,PR02423,PR02423-1,59,9:38:00 AM,n_a,1,2,0,13,1,3,0,13,1,9:48:00 AM,1,Yes,BOCH (call) and BHCO (song) at PC end,59,31/07/2012
17/06/2012,PR02481,PR02481-1,59,5:45:00 AM,n_a,1,0,0,9,3,0,0,9,3,5:55:00 AM,1,Yes,,59,31/07/2012
17/06/2012,PR02482,PR02482-1,59,8:26:00 AM,n_a,1,0,0,11,2,0,0,11,2,8:36:00 AM,0,Yes,,59,31/07/2012
17/06/2012,PR02483,PR02483-1,59,7:53:00 AM,n_a,1,0,1,11,2,2,1,11,2,8:03:00 AM,0,Yes,,59,31/07/2012
17/06/2012,PR02491,PR02491-1,75,5:36:00 AM,n_a,1,0,0,9,2,0,0,9,2,5:46:00 AM,0,Yes,,75,31/07/2012
17/06/2012,PR02492,PR02492-1,75,9:19:00 AM,n_a,1,1,0,14,2,1,0,14,2,9:29:00 AM,0,Yes,,75,31/07/2012
17/06/2012,PR02493,PR02493-1,75,7:45:00 AM,n_a,1,1,0,11,2,1,0,11,2,7:55:00 AM,0,Yes,,75,31/07/2012
17/06/2012,PR02494,PR02494-1,75,7:05:00 AM,n_a,1,0,0,11,2,0,0,11,2,7:15:00 AM,0,Yes,,75,31/07/2012
17/06/2012,PR02495,PR02495-1,75,8:43:00 AM,n_a,1,0,0,12,2,0,0,12,2,8:53:00 AM,0,Yes,,75,31/07/2012
31/05/2012,PR02502,PR02502-1,69,8:07:00 AM,n_a,1,2,0,12,0,3,0,12,0,8:17:00 AM,0,No,,69,31/07/2012
31/05/2012,PR02503,PR02503-1,69,9:12:00 AM,n_a,1,2,0,13,0,3,0,13,0,9:22:00 AM,1,No,wind gusts to 4,69,31/07/2012
31/05/2012,PR02504,PR02504-1,69,6:28:00 AM,n_a,1,0,0,8,0,0,0,8,0,6:38:00 AM,0,No,,69,31/07/2012
31/05/2012,PR02511,PR02511-1,69,5:42:00 AM,n_a,1,0,0,8,0,0,0,8,0,5:52:00 AM,0,No,,69,31/07/2012
01/06/2012,PR02513,PR02513-1,69,7:48:00 AM,n_a,1,0,0,9,0,1,0,9,0,7:58:00 AM,0,No,wolf pack howling,69,31/07/2012
01/06/2012,PR02515,PR02515-1,69,8:22:00 AM,n_a,1,0,0,12,0,0,0,12,0,8:32:00 AM,0,No,,69,31/07/2012
01/06/2012,PR02520,PR02520-1,69,6:37:00 AM,n_a,1,0,0,4,0,0,0,4,0,6:47:00 AM,0,No,,69,31/07/2012
31/05/2012,PR02591,PR02591-1,69,7:13:00 AM,n_a,1,2,0,9,0,3,0,9,0,7:23:00 AM,0,No,"limited visual of YRWA (high trill, rising end)",69,31/07/2012
31/05/2012,PR02592,PR02592-1,69,8:37:00 AM,n_a,1,2,0,12,0,3,0,12,0,8:47:00 AM,1,No,wind gusts to 4 midway through PC-difficult to hear past 50m,69,31/07/2012
01/06/2012,PR02593,PR02593-1,69,8:54:00 AM,n_a,1,0,0,13,0,1,0,13,0,9:04:00 AM,0,No,,69,31/07/2012
01/06/2012,PR02594,PR02594-1,69,9:31:00 AM,n_a,1,2,0,14,0,2,0,14,0,9:41:00 AM,0,No,,69,31/07/2012
01/06/2012,PR02595,PR02595-1,69,5:14:00 AM,n_a,1,0,0,2,0,0,0,2,0,5:24:00 AM,0,No,Not flagged correctly: labelled as PR_25_20R,69,31/07/2012
01/06/2012,PR02596,PR02596-1,69,5:51:00 AM,n_a,1,0,0,1,0,0,0,1,0,6:01:00 AM,0,No,No DCm6 between 2 harvest units,69,31/07/2012
21/06/2012,PR02708,PR02708-1,75,6:13:00 AM,n_a,1,0,0,8,0,0,0,8,0,6:23:00 AM,0,No,,75,31/07/2012
21/06/2012,PR02722,PR02722-1,59,7:37:00 AM,n_a,1,0,0,17,0,0,0,17,0,7:47:00 AM,0,No,,59,31/07/2012
21/06/2012,PR02725,PR02725-1,59,6:54:00 AM,n_a,1,1,0,8,0,2,0,8,0,7:04:00 AM,1,No,wind gusting to 3,59,31/07/2012
21/06/2012,PR02781,PR02781-1,59,8:08:00 AM,n_a,1,2,0,15,0,2,0,15,0,8:18:00 AM,1,No,,59,31/07/2012
21/06/2012,PR02782,PR02782-1,59,8:40:00 AM,n_a,1,1,0,15,0,1,0,15,0,8:50:00 AM,0,No,,59,31/07/2012
21/06/2012,PR02783,PR02783-1,59,6:22:00 AM,n_a,1,0,0,5,0,0,0,5,0,6:32:00 AM,0,No,PC relocated out of wet patch ~15m (was not representative of surrounding habitat),59,31/07/2012
21/06/2012,PR02784,PR02784-1,59,5:03:00 AM,n_a,1,1,0,9,0,2,0,9,0,5:13:00 AM,1,No,,59,31/07/2012
21/06/2012,PR02791,PR02791-1,75,5:11:00 AM,n_a,1,0,0,9,0,0,0,9,0,5:21:00 AM,0,No,,75,31/07/2012
21/06/2012,PR02792,PR02792-1,75,9:19:00 AM,n_a,1,1,0,19,0,1,0,19,0,9:29:00 AM,0,No,,75,31/07/2012
21/06/2012,PR02793,PR02793-1,75,7:23:00 AM,n_a,1,2,0,11,0,2,0,11,0,7:33:00 AM,0,No,1 RESQ in time 1 and in 0-50 distance,75,31/07/2012
21/06/2012,PR02794,PR02794-1,75,8:46:00 AM,n_a,1,1,0,14,0,1,0,14,0,8:56:00 AM,0,No,1 RESQ in time 1 and in 0-50 distance; 1 RESQ in time 3 and in 0-50 distance,75,31/07/2012
21/06/2012,PR02795,PR02795-1,75,8:08:00 AM,n_a,1,1,0,12,0,1,0,12,0,8:18:00 AM,0,No,"2 RESQ in time 1 and in 0-50 distance, 1 RESQ in time 1 and in >50 distance",75,31/07/2012
15/06/2012,PR02902,PR02902-1,59,7:51:00 AM,n_a,1,1,0,16,0,1,0,16,0,8:01:00 AM,1,Yes,,59,31/07/2012
15/06/2012,PR02910,PR02910-1,59,8:58:00 AM,n_a,1,0,0,11,0,0,0,11,0,9:08:00 AM,0,Yes,,59,31/07/2012
15/06/2012,PR02917,PR02917-1,75,5:09:00 AM,n_a,1,0,0,4,0,0,0,4,0,5:19:00 AM,0,Yes,,75,31/07/2012
15/06/2012,PR02920,PR02920-1,75,9:12:00 AM,n_a,1,2,0,13,0,2,0,13,0,9:22:00 AM,0,Yes,,75,31/07/2012
15/06/2012,PR02923,PR02923-1,59,5:10:00 AM,n_a,1,0,0,3,2,0,0,3,0,5:20:00 AM,2,Yes,,59,31/07/2012
15/06/2012,PR02981,PR02981-1,59,6:00:00 AM,n_a,1,0,0,5,0,0,0,5,0,6:10:00 AM,1,Yes,,59,31/07/2012
15/06/2012,PR02982,PR02982-1,59,6:47:00 AM,n_a,1,0,0,5,0,0,0,5,0,6:57:00 AM,1,Yes,,59,31/07/2012
15/06/2012,PR02983,PR02983-1,59,9:32:00 AM,n_a,1,0,0,12,0,0,0,12,0,9:42:00 AM,0,Yes,noise up to 3 near end,59,31/07/2012
15/06/2012,PR02991,PR02991-1,75,7:19:00 AM,n_a,1,0,0,9,0,0,0,9,0,7:29:00 AM,0,Yes,,75,31/07/2012
15/06/2012,PR02992,PR02992-1,75,6:35:00 AM,n_a,1,0,0,3,0,0,0,3,0,6:45:00 AM,0,Yes,,75,31/07/2012
15/06/2012,PR02993,PR02993-1,75,5:55:00 AM,n_a,1,0,0,2,0,0,0,2,0,6:05:00 AM,0,Yes,,75,31/07/2012
15/06/2012,PR02994,PR02994-1,75,8:22:00 AM,n_a,1,0,0,12,0,0,0,12,0,8:32:00 AM,0,Yes,,75,31/07/2012
25/06/2012,PR03203,PR03203-1,75,6:43:00 AM,n_a,1,0,0,13,2,0,0,13,2,6:53:00 AM,0,Yes,,75,31/07/2012
25/06/2012,PR03205,PR03205-1,75,5:31:00 AM,n_a,1,3,0,14,2,3,0,14,2,5:41:00 AM,1,Yes,,75,31/07/2012
24/06/2012,PR03214,PR03214-1,59,4:51:00 AM,n_a,1,2,0,13,2,2,0,13,2,5:01:00 AM,1,No,Noise picked up towards end of PC. Still very dark due to clouds. All other PCs from this day terminated due to wind and rain.,59,31/07/2012
25/06/2012,PR03281,PR03281-1,59,5:22:00 AM,n_a,1,3,0,13,2,3,0,13,2,5:32:00 AM,1,Yes,,59,31/07/2012
25/06/2012,PR03282,PR03282-1,59,6:27:00 AM,n_a,1,2,0,13,3,2,0,13,3,6:37:00 AM,1,Yes,,59,31/07/2012
25/06/2012,PR03283,PR03283-1,59,7:25:00 AM,n_a,1,2,0,13,3,2,0,13,3,7:35:00 AM,1,Yes,,59,31/07/2012
25/06/2012,PR03284,PR03284-1,59,4:59:00 AM,n_a,1,3,0,13,2,4,0,13,2,5:09:00 AM,2,Yes,,59,31/07/2012
25/06/2012,PR03285,PR03285-1,59,5:56:00 AM,n_a,1,2,0,13,2,2,0,13,2,6:06:00 AM,1,Yes,,59,31/07/2012
25/06/2012,PR03286,PR03286-1,59,8:07:00 AM,n_a,1,2,0,14,2,2,0,14,2,8:17:00 AM,1,Yes,LESP heard singing before PC starts,59,31/07/2012
25/06/2012,PR03291,PR03291-1,75,4:58:00 AM,n_a,1,3,0,13,2,3,0,13,2,5:08:00 AM,0,Yes,1 RESQ in time 2 and in 0-50 distance,75,31/07/2012
25/06/2012,PR03292,PR03292-1,75,5:59:00 AM,n_a,1,1,0,13,2,1,0,13,2,6:09:00 AM,0,Yes,,75,31/07/2012
25/06/2012,PR03293,PR03293-1,75,7:08:00 AM,n_a,1,0,0,13,2,0,0,13,2,7:18:00 AM,0,Yes,1 RESQ in time 2 and in 0-50 distance; 1 RESQ in time 3 and in 0-50 distance,75,31/07/2012
25/06/2012,PR03294,PR03294-1,75,7:57:00 AM,n_a,1,1,0,17,2,1,0,17,2,8:07:00 AM,0,Yes,,75,31/07/2012
18/06/2012,PR03403,PR03403-1,59,5:19:00 AM,n_a,1,0,1,10,3,0,1,10,3,5:29:00 AM,1,Yes,"PC start delayed due to wind; no CAWA detected, but forgot playback; noisy drill",59,31/07/2012
18/06/2012,PR03404,PR03404-1,59,5:55:00 AM,n_a,1,2,0,10,2,3,0,10,2,6:05:00 AM,1,Yes,majority of this PC has been clearcut very recently (<5yrs ago); forest edge surrounds PC (therefore very diverse),59,31/07/2012
18/06/2012,PR03406,PR03406-1,75,7:48:00 AM,n_a,1,2,0,11,2,2,0,11,2,7:58:00 AM,0,Yes,"same CORAs in PR_34_6, PR_34_5R, and PR_34_9R",75,31/07/2012
18/06/2012,PR03413,PR03413-1,75,8:42:00 AM,n_a,1,1,0,14,2,1,0,14,2,8:52:00 AM,0,Yes,1 RESQ in time 1 and in 0-50 distance,75,31/07/2012
18/06/2012,PR03414,PR03414-1,75,5:55:00 AM,n_a,1,0,0,10,2,0,0,10,2,6:05:00 AM,1,Yes,,75,31/07/2012
18/06/2012,PR03481,PR03481-1,59,7:19:00 AM,n_a,1,3,0,11,2,3,0,11,2,7:29:00 AM,1,Yes,female ruffed grouse with chicks observed before PC,59,31/07/2012
18/06/2012,PR03482,PR03482-1,59,7:56:00 AM,n_a,1,2,0,12,2,2,0,12,2,8:06:00 AM,2,Yes,,59,31/07/2012
18/06/2012,PR03483,PR03483-1,59,6:34:00 AM,n_a,1,2,0,11,3,2,0,11,3,6:44:00 AM,1,Yes,River to S of PC; Southern half of PC partially clearcut,59,31/07/2012
18/06/2012,PR03484,PR03484-1,59,8:38:00 AM,n_a,1,0,0,15,2,0,0,15,2,8:48:00 AM,2,Yes,could not place point away from clearcut portion of MWw7/BUE ;habitat (habitat is wet burn in riparian crest of hill); noisy squirrels constant calling 2 RESQ detected period 1 0-50m,59,31/07/2012
18/06/2012,PR03491,PR03491-1,75,9:24:00 AM,n_a,1,2,0,13,2,2,0,13,2,9:34:00 AM,0,Yes,1 RESQ in time 2 and in 0-50 distance; 1 RESQ in time 3 and in 0-50 distance,75,31/07/2012
18/06/2012,PR03492,PR03492-1,75,5:15:00 AM,n_a,1,0,0,10,2,0,0,10,2,5:25:00 AM,1,Yes,,75,31/07/2012
18/06/2012,PR03493,PR03493-1,75,7:13:00 AM,n_a,1,1,0,11,2,1,0,11,2,7:23:00 AM,0,Yes,,75,31/07/2012
18/06/2012,PR03494,PR03494-1,75,6:40:00 AM,n_a,1,0,0,10,2,0,0,10,2,6:50:00 AM,1,Yes,,75,31/07/2012
30/06/2012,PR03602,PR03602-1,75,6:58:00 AM,n_a,1,2,0,11,0,2,0,11,0,7:08:00 AM,0,No,1 RESQ in time 3 and in 0-50 distance; forgot to do the CAWA playback!,75,31/07/2012
08/06/2012,PR03604,PR03604-1,69,5:53:00 AM,n_a,1,0,0,5,0,1,0,5,0,6:03:00 AM,0,No,forgot CAWA playback,69,31/07/2012
08/06/2012,PR03605,PR03605-1,69,8:11:00 AM,n_a,1,0,0,12,1,0,0,12,1,8:21:00 AM,0,No,RESQ calling in third period 0-50m,69,31/07/2012
30/06/2012,PR03611,PR03611-1,59,5:35:00 AM,n_a,1,2,0,8,0,2,0,8,0,5:45:00 AM,1,No,,59,31/07/2012
30/06/2012,PR03612,PR03612-1,75,5:14:00 AM,n_a,1,1,0,11,0,1,0,11,0,5:24:00 AM,0,No,1 RESQ in time 1 and in 0-50 distance; 1 RESQ in time 2 and in 0-50 distance,75,31/07/2012
08/06/2012,PR03613,PR03613-1,69,6:43:00 AM,n_a,1,0,0,7,0,0,0,7,0,6:53:00 AM,0,No,RESQ heard in 3rd period within 50 m (calling),69,31/07/2012
08/06/2012,PR03616,PR03616-1,69,4:50:00 AM,n_a,1,1,0,5,0,1,0,5,0,5:00:00 AM,0,No,,69,31/07/2012
