Item/Point,Version anglaise,Version française,,,,,,,,,,,,,,,,,
LB10115,LB101,NAD83,No,n_a,n_a,n_a,-111.673784,54.742989,GIS,point,2,TRUE,29/05/2013,Road,,,,,
LB10180,LB101,NAD83,No,n_a,n_a,n_a,-111.721228,54.725812,GPS,point,63,TRUE,29/05/2013,Road,,,,,
LB10204,LB102,NAD83,No,n_a,n_a,n_a,-111.600068,54.951095,GIS,point,86,TRUE,30/05/2013,Road,,,,,
LB10205,LB102,NAD83,No,n_a,n_a,n_a,-111.598731,54.946291,GIS,point,86,TRUE,30/05/2013,Road,,,,,
LB10206,LB102,NAD83,No,n_a,n_a,n_a,-111.593741,54.950035,GIS,point,86,TRUE,30/05/2013,Road,,,,,
LB10207,LB102,NAD83,No,n_a,n_a,n_a,-111.593008,54.945525,GIS,point,86,TRUE,30/05/2013,Road,,,,,
LB10208,LB102,NAD83,No,n_a,n_a,n_a,-111.591422,54.934658,GIS,point,86,TRUE,30/05/2013,Road,,,,,
LB10209,LB102,NAD83,No,n_a,n_a,n_a,-111.592271,54.926264,GIS,point,86,TRUE,30/05/2013,Road,,,,,
LB10210,LB102,NAD83,No,n_a,n_a,n_a,-111.590892,54.920481,GIS,point,86,TRUE,30/05/2013,Road,,,,,
LB10211,LB102,NAD83,No,n_a,n_a,n_a,-111.582546,54.923884,GIS,point,86,TRUE,30/05/2013,Road,,,,,
LB10214,LB102,NAD83,No,n_a,n_a,n_a,-111.582505,54.914099,GIS,point,41,TRUE,30/05/2013,Road,,,,,
LB10215,LB102,NAD83,No,n_a,n_a,n_a,-111.575109,54.926811,GIS,point,41,TRUE,30/05/2013,Road,,,,,
LB10216,LB102,NAD83,No,n_a,n_a,n_a,-111.577492,54.916717,GIS,point,41,TRUE,30/05/2013,Road,,,,,
LB10217,LB102,NAD83,No,n_a,n_a,n_a,-111.574787,54.922913,GIS,point,41,TRUE,30/05/2013,Road,,,,,
LB10218,LB102,NAD83,No,n_a,n_a,n_a,-111.575207,54.91977,GIS,point,41,TRUE,30/05/2013,Road,,,,,
LB10221,LB102,NAD83,No,n_a,n_a,n_a,-111.573011,54.913078,GIS,point,41,TRUE,30/05/2013,Road,,,,,
LB10222,LB102,NAD83,No,n_a,n_a,n_a,-111.573796,54.908961,GIS,point,41,TRUE,30/05/2013,Road,,,,,
LB10223,LB102,NAD83,No,n_a,n_a,n_a,-111.568978,54.924631,GIS,point,41,TRUE,30/05/2013,Road,,,,,
LB10224,LB102,NAD83,No,n_a,n_a,n_a,-111.569782,54.917754,GIS,point,41,TRUE,30/05/2013,Road,,,,,
LB10302,LB103,NAD83,No,n_a,n_a,n_a,-111.390679,55.007822,GIS,point,41,TRUE,31/05/2013,Road,,,,,
LB10303,LB103,NAD83,No,n_a,n_a,n_a,-111.384017,55.011892,GIS,point,41,TRUE,31/05/2013,Road,,,,,
LB10304,LB103,NAD83,No,n_a,n_a,n_a,-111.380984,55.004691,GIS,point,41,TRUE,31/05/2013,Road,,,,,
LB10306,LB103,NAD83,No,n_a,n_a,n_a,-111.375449,54.979309,GIS,point,86,TRUE,31/05/2013,Road,,,,,
LB10307,LB103,NAD83,No,n_a,n_a,n_a,-111.367676,55.002377,GIS,point,41,TRUE,31/05/2013,Road,,,,,
LB10308,LB103,NAD83,No,n_a,n_a,n_a,-111.369627,54.979135,GIS,point,86,TRUE,31/05/2013,Road,,,,,
LB10310,LB103,NAD83,No,n_a,n_a,n_a,-111.364466,54.976263,GIS,point,86,TRUE,31/05/2013,Road,,,,,
LB10311,LB103,NAD83,No,n_a,n_a,n_a,-111.362449,54.972445,GIS,point,86,TRUE,31/05/2013,Road,,,,,
LB10313,LB103,NAD83,No,n_a,n_a,n_a,-111.349104,54.998252,GIS,point,41,TRUE,31/05/2013,Road,,,,,
LB10314,LB103,NAD83,No,n_a,n_a,n_a,-111.356445,54.971226,GIS,point,86,TRUE,31/05/2013,Road,,,,,
LB10316,LB103,NAD83,No,n_a,n_a,n_a,-111.351146,54.969647,GIS,point,86,TRUE,31/05/2013,Road,,,,,
LB10317,LB103,NAD83,No,n_a,n_a,n_a,-111.347839,54.974165,GIS,point,86,TRUE,31/05/2013,Road,,,,,
LB10318,LB103,NAD83,No,n_a,n_a,n_a,-111.338793,54.999455,GIS,point,41,TRUE,31/05/2013,Road,,,,,
LB10319,LB103,NAD83,No,n_a,n_a,n_a,-111.344646,54.977187,GIS,point,86,TRUE,31/05/2013,Road,,,,,
LB10380,LB103,NAD83,No,n_a,n_a,n_a,-111.39451,55.004464,GPS,point,41,TRUE,31/05/2013,Road,,,,,
LB10401,LB104,NAD83,No,n_a,n_a,n_a,-111.007025,54.663694,GIS,point,86,TRUE,27/05/2013,Road,,,,,
LB10402,LB104,NAD83,No,n_a,n_a,n_a,-111.003316,54.667883,GIS,point,86,TRUE,27/05/2013,Road,,,,,
LB10406,LB104,NAD83,No,n_a,n_a,n_a,-110.997058,54.668848,GIS,point,86,TRUE,27/05/2013,Road,,,,,
LB10407,LB104,NAD83,No,n_a,n_a,n_a,-110.998125,54.664114,GIS,point,86,TRUE,27/05/2013,Road,,,,,
LB10408,LB104,NAD83,No,n_a,n_a,n_a,-110.999092,54.657422,GIS,point,86,TRUE,27/05/2013,Road,,,,,
LB10409,LB104,NAD83,No,n_a,n_a,n_a,-110.990887,54.670542,GIS,point,86,TRUE,27/05/2013,Road,,,,,
LB10410,LB104,NAD83,No,n_a,n_a,n_a,-110.993612,54.661353,GIS,point,86,TRUE,27/05/2013,Road,,,,,
LB10412,LB104,NAD83,No,n_a,n_a,n_a,-110.982007,54.668349,GIS,point,86,TRUE,27/05/2013,Road,,,,,
LB10415,LB104,NAD83,No,n_a,n_a,n_a,-110.968873,54.666858,GIS,point,41,TRUE,27/05/2013,Road,,,,,
LB10419,LB104,NAD83,No,n_a,n_a,n_a,-110.960864,54.666907,GIS,point,41,TRUE,27/05/2013,Road,,,,,
LB10421,LB104,NAD83,No,n_a,n_a,n_a,-110.96079,54.662159,GIS,point,41,TRUE,27/05/2013,Road,,,,,
LB10423,LB104,NAD83,No,n_a,n_a,n_a,-110.953966,54.668575,GIS,point,41,TRUE,27/05/2013,Road,,,,,
LB10426,LB104,NAD83,No,n_a,n_a,n_a,-110.953356,54.661911,GIS,point,41,TRUE,27/05/2013,Road,,,,,
LB10427,LB104,NAD83,No,n_a,n_a,n_a,-110.948586,54.67072,GIS,point,41,TRUE,27/05/2013,Road,,,,,
LB10428,LB104,NAD83,No,n_a,n_a,n_a,-110.947979,54.666582,GIS,point,41,TRUE,27/05/2013,Road,,,,,
LB10432,LB104,NAD83,No,n_a,n_a,n_a,-110.943751,54.661274,GIS,point,41,TRUE,27/05/2013,Road,,,,,
LB11004,LB110,NAD83,No,n_a,n_a,n_a,-110.332088,54.578002,GIS,point,41,TRUE,25/05/2013,Road,,,,,
LB11008,LB110,NAD83,No,n_a,n_a,n_a,-110.334826,54.609544,GIS,point,86,TRUE,25/05/2013,Road,,,,,
LB11009,LB110,NAD83,No,n_a,n_a,n_a,-110.3425,54.604973,GIS,point,86,TRUE,25/05/2013,Road,,,,,
LB11011,LB110,NAD83,No,n_a,n_a,n_a,-110.392474,54.591997,GIS,point,86,TRUE,25/05/2013,Road,,,,,
LB11013,LB110,NAD83,No,n_a,n_a,n_a,-110.350226,54.603138,GIS,point,86,TRUE,25/05/2013,Road,,,,,
LB11018,LB110,NAD83,No,n_a,n_a,n_a,-110.378165,54.599037,GIS,point,86,TRUE,25/05/2013,Road,,,,,
LB11020,LB110,NAD83,No,n_a,n_a,n_a,-110.329083,54.603616,GIS,point,41,TRUE,25/05/2013,Road,,,,,
LB11070,LB110,NAD83,No,n_a,n_a,n_a,-110.336275,54.598382,GPS,point,41,TRUE,25/05/2013,Road,,,,,
LB11080,LB110,NAD83,No,n_a,n_a,n_a,-110.34428,54.586471,GPS,point,41,TRUE,25/05/2013,Road,,,,,
LB11081,LB110,NAD83,No,n_a,n_a,n_a,-110.335166,54.590162,GPS,point,41,TRUE,25/05/2013,Road,,,,,
LB11090,LB110,NAD83,No,n_a,n_a,n_a,-110.361663,54.600741,MAP,point,86,TRUE,25/05/2013,Road,,,,,
LB11103,LB111,NAD83,No,n_a,n_a,n_a,-110.742922,54.653682,GIS,point,41,TRUE,26/05/2013,Road,,,,,
LB11105,LB111,NAD83,No,n_a,n_a,n_a,-110.73753,54.665084,GIS,point,86,TRUE,26/05/2013,Road,,,,,
LB11106,LB111,NAD83,No,n_a,n_a,n_a,-110.703405,54.663476,GIS,point,86,TRUE,26/05/2013,Road,,,,,
LB11107,LB111,NAD83,No,n_a,n_a,n_a,-110.754309,54.665262,GIS,point,86,TRUE,26/05/2013,Road,,,,,
LB11108,LB111,NAD83,No,n_a,n_a,n_a,-110.706697,54.64962,GIS,point,41,TRUE,26/05/2013,Road,,,,,
LB11109,LB111,NAD83,No,n_a,n_a,n_a,-110.716248,54.65531,GIS,point,41,TRUE,26/05/2013,Road,,,,,
LB11111,LB111,NAD83,No,n_a,n_a,n_a,-110.732346,54.656751,GIS,point,41,TRUE,26/05/2013,Road,,,,,
LB11115,LB111,NAD83,No,n_a,n_a,n_a,-110.726012,54.667654,GIS,point,86,TRUE,26/05/2013,Road,,,,,
LB11116,LB111,NAD83,No,n_a,n_a,n_a,-110.722838,54.663592,GIS,point,86,TRUE,26/05/2013,Road,,,,,
LB11117,LB111,NAD83,No,n_a,n_a,n_a,-110.714049,54.662943,GIS,point,86,TRUE,26/05/2013,Road,,,,,
LB11120,LB111,NAD83,No,n_a,n_a,n_a,-110.709999,54.6672,GIS,point,86,TRUE,26/05/2013,Road,,,,,
LB11171,LB111,NAD83,No,n_a,n_a,n_a,-110.696728,54.648324,GPS,point,41,TRUE,26/05/2013,Road,,,,,
LB11172,LB111,NAD83,No,n_a,n_a,n_a,-110.696677,54.651742,GPS,point,41,TRUE,26/05/2013,Road,,,,,
LB11173,LB111,NAD83,No,n_a,n_a,n_a,-110.704647,54.655624,GPS,point,41,TRUE,26/05/2013,Road,,,,,
LB11301,LB113,NAD83,No,n_a,n_a,n_a,-111.484067,54.819533,GIS,point,41,TRUE,28/05/2013,Road,,,,,
LB11302,LB113,NAD83,No,n_a,n_a,n_a,-111.466988,54.831462,GIS,point,41,TRUE,28/05/2013,Road,,,,,
LB11303,LB113,NAD83,No,n_a,n_a,n_a,-111.448213,54.842194,GIS,point,86,TRUE,28/05/2013,Road,,,,,
LB11304,LB113,NAD83,No,n_a,n_a,n_a,-111.484524,54.83278,GIS,point,41,TRUE,28/05/2013,Road,,,,,
LB11305,LB113,NAD83,No,n_a,n_a,n_a,-111.488777,54.813877,GIS,point,41,TRUE,28/05/2013,Road,,,,,
LB11306,LB113,NAD83,No,n_a,n_a,n_a,-111.478659,54.808033,GIS,point,41,TRUE,28/05/2013,Road,,,,,
LB11308,LB113,NAD83,No,n_a,n_a,n_a,-111.477741,54.81316,GIS,point,41,TRUE,28/05/2013,Road,,,,,
LB11314,LB113,NAD83,No,n_a,n_a,n_a,-111.440696,54.832807,GIS,point,86,TRUE,28/05/2013,Road,,,,,
LB11315,LB113,NAD83,No,n_a,n_a,n_a,-111.433657,54.833246,GIS,point,86,TRUE,28/05/2013,Road,,,,,
LB11316,LB113,NAD83,No,n_a,n_a,n_a,-111.451132,54.837261,GIS,point,86,TRUE,28/05/2013,Road,,,,,
LB11320,LB113,NAD83,No,n_a,n_a,n_a,-111.454414,54.850894,GIS,point,86,TRUE,28/05/2013,Road,,,,,
LB11322,LB113,NAD83,No,n_a,n_a,n_a,-111.438026,54.842245,GIS,point,86,TRUE,28/05/2013,Road,,,,,
LB11324,LB113,NAD83,No,n_a,n_a,n_a,-111.446055,54.846439,GIS,point,86,TRUE,28/05/2013,Road,,,,,
LB11380,LB113,NAD83,No,n_a,n_a,n_a,-111.484134,54.827784,GPS,point,41,TRUE,28/05/2013,Road,,,,,
LB11381,LB113,NAD83,No,n_a,n_a,n_a,-111.469426,54.833834,GPS,point,41,TRUE,28/05/2013,Road,,,,,
LB11401,LB114,NAD83,No,n_a,n_a,n_a,-111.468229,54.935849,GIS,point,41,TRUE,29/05/2013,Road,,,,,
LB11402,LB114,NAD83,No,n_a,n_a,n_a,-111.452105,54.962714,GIS,point,86,TRUE,29/05/2013,Road,,,,,
LB11405,LB114,NAD83,No,n_a,n_a,n_a,-111.469393,54.942494,GIS,point,41,TRUE,29/05/2013,Road,,,,,
LB11406,LB114,NAD83,No,n_a,n_a,n_a,-111.479091,54.942792,GIS,point,41,TRUE,29/05/2013,Road,,,,,
LB11407,LB114,NAD83,No,n_a,n_a,n_a,-111.452933,54.934451,GIS,point,41,TRUE,29/05/2013,Road,,,,,
LB11408,LB114,NAD83,No,n_a,n_a,n_a,-111.489054,54.930103,GIS,point,41,TRUE,29/05/2013,Road,,,,,
LB11409,LB114,NAD83,No,n_a,n_a,n_a,-111.467511,54.951079,GIS,point,86,TRUE,29/05/2013,Road,,,,,
LB11412,LB114,NAD83,No,n_a,n_a,n_a,-111.493757,54.942133,GIS,point,41,TRUE,29/05/2013,Road,,,,,
LB11417,LB114,NAD83,No,n_a,n_a,n_a,-111.475527,54.958496,GIS,point,86,TRUE,29/05/2013,Road,,,,,
LB11418,LB114,NAD83,No,n_a,n_a,n_a,-111.423956,54.95623,GIS,point,86,TRUE,29/05/2013,Road,,,,,
LB11420,LB114,NAD83,No,n_a,n_a,n_a,-111.454097,54.955527,GIS,point,86,TRUE,29/05/2013,Road,,,,,
LB11421,LB114,NAD83,No,n_a,n_a,n_a,-111.464643,54.95347,GIS,point,86,TRUE,29/05/2013,Road,,,,,
LB11470,LB114,NAD83,No,n_a,n_a,n_a,-111.489431,54.937148,GPS,point,41,TRUE,29/05/2013,Road,,,,,
LB11471,LB114,NAD83,No,n_a,n_a,n_a,-111.432586,54.957981,GPS,point,86,TRUE,29/05/2013,Road,,,,,
LB11472,LB114,NAD83,No,n_a,n_a,n_a,-111.445139,54.95745,GPS,point,86,TRUE,29/05/2013,Road,,,,,
LB11511,LB115,NAD83,No,n_a,n_a,n_a,-112.083693,55.002676,GIS,point,2,TRUE,30/05/2013,Road,,,,,
LB11515,LB115,NAD83,No,n_a,n_a,n_a,-112.087708,55.006135,GIS,point,2,TRUE,30/05/2013,Road,,,,,
LB11517,LB115,NAD83,No,n_a,n_a,n_a,-112.091024,55.013771,GIS,point,2,TRUE,30/05/2013,Road,,,,,
LB11518,LB115,NAD83,No,n_a,n_a,n_a,-112.099821,55.017356,GIS,point,2,TRUE,30/05/2013,Road,,,,,
LB11520,LB115,NAD83,No,n_a,n_a,n_a,-112.105088,54.984898,GIS,point,2,TRUE,30/05/2013,Road,,,,,
LB11521,LB115,NAD83,No,n_a,n_a,n_a,-112.105434,55.000392,GIS,point,2,TRUE,30/05/2013,Road,,,,,
LB11522,LB115,NAD83,No,n_a,n_a,n_a,-112.107089,54.994335,GIS,point,2,TRUE,30/05/2013,Road,,,,,
LB11525,LB115,NAD83,No,n_a,n_a,n_a,-112.110006,54.997838,GIS,point,2,TRUE,30/05/2013,Road,,,,,
LB11528,LB115,NAD83,No,n_a,n_a,n_a,-112.119727,55.006758,GIS,point,63,TRUE,30/05/2013,Road,,,,,
LB11530,LB115,NAD83,No,n_a,n_a,n_a,-112.122851,54.99548,GIS,point,63,TRUE,30/05/2013,Road,,,,,
LB11532,LB115,NAD83,No,n_a,n_a,n_a,-112.12974,55.004822,GIS,point,63,TRUE,30/05/2013,Road,,,,,
LB11533,LB115,NAD83,No,n_a,n_a,n_a,-112.134641,55.002766,GIS,point,63,TRUE,30/05/2013,Road,,,,,
LB11534,LB115,NAD83,No,n_a,n_a,n_a,-112.13733,54.999256,GIS,point,63,TRUE,30/05/2013,Road,,,,,
LB11580,LB115,NAD83,No,n_a,n_a,n_a,-112.133204,54.990024,GPS,point,63,TRUE,30/05/2013,Road,,,,,
LB11701,LB117,NAD83,No,n_a,n_a,n_a,-111.708876,54.829823,GIS,point,69,TRUE,24/05/2013,Road,,,,,
LB11704,LB117,NAD83,No,n_a,n_a,n_a,-111.7299,54.860899,GIS,point,2,TRUE,24/05/2013,Road,,,,,
LB11706,LB117,NAD83,No,n_a,n_a,n_a,-111.720009,54.855267,GIS,point,2,TRUE,24/05/2013,Road,,,,,
LB11709,LB117,NAD83,No,n_a,n_a,n_a,-111.704075,54.841814,GIS,point,69,TRUE,24/05/2013,Road,,,,,
LB11711,LB117,NAD83,No,n_a,n_a,n_a,-111.735632,54.837679,GIS,point,2,TRUE,24/05/2013,Road,,,,,
LB11713,LB117,NAD83,No,n_a,n_a,n_a,-111.705091,54.83598,GIS,point,69,TRUE,24/05/2013,Road,,,,,
LB11716,LB117,NAD83,No,n_a,n_a,n_a,-111.709374,54.85237,GIS,point,2,TRUE,24/05/2013,Road,,,,,
LB11717,LB117,NAD83,No,n_a,n_a,n_a,-111.712875,54.861132,GIS,point,2,TRUE,24/05/2013,Road,,,,,
LB11718,LB117,NAD83,No,n_a,n_a,n_a,-111.721091,54.837162,GIS,point,69,TRUE,24/05/2013,Road,,,,,
LB11719,LB117,NAD83,No,n_a,n_a,n_a,-111.715772,54.832155,GIS,point,69,TRUE,24/05/2013,Road,,,,,
LB11721,LB117,NAD83,No,n_a,n_a,n_a,-111.719001,54.842502,GIS,point,69,TRUE,24/05/2013,Road,,,,,
LB11722,LB117,NAD83,No,n_a,n_a,n_a,-111.708196,54.839518,GIS,point,69,TRUE,24/05/2013,Road,,,,,
LB11770,LB117,NAD83,No,n_a,n_a,n_a,-111.724306,54.842425,GPS,point,69,TRUE,24/05/2013,Road,,,,,
LB11771,LB117,NAD83,No,n_a,n_a,n_a,-111.734548,54.846839,GPS,point,2,TRUE,24/05/2013,Road,,,,,
LB11772,LB117,NAD83,No,n_a,n_a,n_a,-111.731542,54.857013,GPS,point,2,TRUE,24/05/2013,Road,,,,,
PR00203,PR002,NAD83,No,n_a,n_a,n_a,-115.37205,57.31684,GIS,point,59,TRUE,02/07/2012,Road,,,,,
PR00204,PR002,NAD83,No,n_a,n_a,n_a,-115.387167,57.311075,GIS,point,98,TRUE,02/07/2012,Road,,,,,
PR00271,PR002,NAD83,No,n_a,n_a,n_a,-115.3775,57.306986,GPS,point,98,TRUE,02/07/2012,Road,,,,,
PR00272,PR002,NAD83,No,n_a,n_a,n_a,-115.381959,57.314807,GPS,point,98,TRUE,02/07/2012,Road,,,,,
PR00273,PR002,NAD83,No,n_a,n_a,n_a,-115.387303,57.302033,GPS,point,98,TRUE,02/07/2012,Road,,,,,
PR00274,PR002,NAD83,No,n_a,n_a,n_a,-115.387953,57.299332,GPS,point,98,TRUE,02/07/2012,Road,,,,,
PR00281,PR002,NAD83,No,n_a,n_a,n_a,-115.362434,57.318029,GPS,point,59,TRUE,02/07/2012,Road,,,,,
PR00282,PR002,NAD83,No,n_a,n_a,n_a,-115.379167,57.317865,GPS,point,59,TRUE,02/07/2012,Road,,,,,
PR00283,PR002,NAD83,No,n_a,n_a,n_a,-115.367527,57.317355,GPS,point,59,TRUE,02/07/2012,Road,,,,,
PR00284,PR002,NAD83,No,n_a,n_a,n_a,-115.388015,57.317919,GPS,point,59,TRUE,02/07/2012,Road,,,,,
PR00291,PR002,NAD83,No,n_a,n_a,n_a,-115.439587,57.30157,GPS,point,75,TRUE,02/07/2012,Road,,,,,
PR00292,PR002,NAD83,No,n_a,n_a,n_a,-115.439494,57.309494,GIS,point,75,TRUE,02/07/2012,Road,,,,,
PR00293,PR002,NAD83,No,n_a,n_a,n_a,-115.439287,57.315193,GPS,point,75,TRUE,02/07/2012,Road,,,,,
PR01002,PR010,NAD83,No,n_a,n_a,n_a,-115.070533,57.105215,GIS,point,98,TRUE,01/07/2012,Road,,,,,
PR01009,PR010,NAD83,No,n_a,n_a,n_a,-115.080359,57.104046,GIS,point,98,TRUE,01/07/2012,Road,,,,,
PR01010,PR010,NAD83,No,n_a,n_a,n_a,-115.053482,57.108309,GIS,point,98,TRUE,01/07/2012,Road,,,,,
PR01071,PR010,NAD83,No,n_a,n_a,n_a,-115.077532,57.108224,GPS,point,98,TRUE,01/07/2012,Road,,,,,
PR01072,PR010,NAD83,No,n_a,n_a,n_a,-115.065828,57.114657,GPS,point,98,TRUE,01/07/2012,Road,,,,,
PR01073,PR010,NAD83,No,n_a,n_a,n_a,-115.068583,57.112105,GPS,point,98,TRUE,01/07/2012,Road,,,,,
PR01103,PR011,NAD83,No,n_a,n_a,n_a,-115.016928,57.076574,GIS,point,75,TRUE,01/07/2012,Road,,,,,
PR01105,PR011,NAD83,No,n_a,n_a,n_a,-114.98562,57.077089,GIS,point,75,TRUE,01/07/2012,Road,,,,,
PR01108,PR011,NAD83,No,n_a,n_a,n_a,-114.990401,57.081369,GIS,point,75,TRUE,01/07/2012,Road,,,,,
PR01125,PR011,NAD83,No,n_a,n_a,n_a,-114.971199,57.066677,GIS,point,59,TRUE,01/07/2012,Road,,,,,
PR01181,PR011,NAD83,No,n_a,n_a,n_a,-114.963597,57.069637,GPS,point,59,TRUE,01/07/2012,Road,,,,,
PR01182,PR011,NAD83,No,n_a,n_a,n_a,-114.970084,57.072104,GPS,point,59,TRUE,01/07/2012,Road,,,,,
PR01183,PR011,NAD83,No,n_a,n_a,n_a,-114.963919,57.072559,GPS,point,59,TRUE,01/07/2012,Road,,,,,
PR01184,PR011,NAD83,No,n_a,n_a,n_a,-114.969283,57.059772,GPS,point,59,TRUE,01/07/2012,Road,,,,,
PR01185,PR011,NAD83,No,n_a,n_a,n_a,-114.974169,57.06419,GPS,point,59,TRUE,01/07/2012,Road,,,,,
PR01191,PR011,NAD83,No,n_a,n_a,n_a,-115.020131,57.081589,GPS,point,75,TRUE,01/07/2012,Road,,,,,
PR01192,PR011,NAD83,No,n_a,n_a,n_a,-115.007127,57.066558,GPS,point,75,TRUE,01/07/2012,Road,,,,,
PR01602,PR016,NAD83,No,n_a,n_a,n_a,-116.999924,56.698927,GIS,point,69,TRUE,02/06/2012,Road,,,,,
PR01603,PR016,NAD83,No,n_a,n_a,n_a,-116.953691,56.704462,GIS,point,69,TRUE,04/06/2012,Road,,,,,
PR01604,PR016,NAD83,No,n_a,n_a,n_a,-116.973892,56.700562,GIS,point,69,TRUE,02/06/2012,Road,,,,,
PR01607,PR016,NAD83,No,n_a,n_a,n_a,-116.972145,56.679676,GIS,point,69,TRUE,03/06/2012,Road,,,,,
PR01609,PR016,NAD83,No,n_a,n_a,n_a,-116.998167,56.688614,GIS,point,69,TRUE,03/06/2012,Road,,,,,
PR01611,PR016,NAD83,No,n_a,n_a,n_a,-116.980598,56.684023,GIS,point,69,TRUE,03/06/2012,Road,,,,,
PR01614,PR016,NAD83,No,n_a,n_a,n_a,-116.989769,56.685593,GIS,point,69,TRUE,03/06/2012,Road,,,,,
PR01616,PR016,NAD83,No,n_a,n_a,n_a,-116.959791,56.708307,GIS,point,69,TRUE,04/06/2012,Road,,,,,
PR01619,PR016,NAD83,No,n_a,n_a,n_a,-116.971195,56.674216,GIS,point,69,TRUE,03/06/2012,Road,,,,,
PR01620,PR016,NAD83,No,n_a,n_a,n_a,-117.002752,56.703156,GIS,point,69,TRUE,02/06/2012,Road,,,,,
PR01691,PR016,NAD83,No,n_a,n_a,n_a,-116.997647,56.69631,GPS,point,69,TRUE,02/06/2012,Road,,,,,
PR01692,PR016,NAD83,No,n_a,n_a,n_a,-116.955852,56.673965,GPS,point,69,TRUE,03/06/2012,Road,,,,,
PR01693,PR016,NAD83,No,n_a,n_a,n_a,-116.985266,56.695433,GPS,point,69,TRUE,02/06/2012,Road,,,,,
PR01694,PR016,NAD83,No,n_a,n_a,n_a,-117.002751,56.686509,GPS,point,69,TRUE,03/06/2012,Road,,,,,
PR01708,PR017,NAD83,No,n_a,n_a,n_a,-116.872685,56.688657,GIS,point,69,TRUE,05/06/2012,Road,,,,,
PR01709,PR017,NAD83,No,n_a,n_a,n_a,-116.895071,56.680845,GIS,point,69,TRUE,05/06/2012,Road,,,,,
PR01710,PR017,NAD83,No,n_a,n_a,n_a,-116.90889,56.705766,GIS,point,69,TRUE,04/06/2012,Road,,,,,
PR01791,PR017,NAD83,No,n_a,n_a,n_a,-116.938191,56.682634,GPS,point,69,TRUE,05/06/2012,Road,,,,,
PR01792,PR017,NAD83,No,n_a,n_a,n_a,-116.927428,56.683585,GPS,point,69,TRUE,05/06/2012,Road,,,,,
PR01793,PR017,NAD83,No,n_a,n_a,n_a,-116.904794,56.682017,GPS,point,69,TRUE,05/06/2012,Road,,,,,
PR01794,PR017,NAD83,No,n_a,n_a,n_a,-116.878914,56.685609,GPS,point,69,TRUE,05/06/2012,Road,,,,,
PR01795,PR017,NAD83,No,n_a,n_a,n_a,-116.928179,56.70604,GPS,point,69,TRUE,04/06/2012,Road,,,,,
PR01796,PR017,NAD83,No,n_a,n_a,n_a,-116.918467,56.705823,GPS,point,69,TRUE,04/06/2012,Road,,,,,
PR02204,PR022,NAD83,No,n_a,n_a,n_a,-116.230449,56.67925,GIS,point,75,TRUE,20/06/2012,Road,,,,,
PR02205,PR022,NAD83,No,n_a,n_a,n_a,-116.266333,56.678102,GIS,point,75,TRUE,20/06/2012,Road,,,,,
PR02208,PR022,NAD83,No,n_a,n_a,n_a,-116.236779,56.652294,GIS,point,59,TRUE,20/06/2012,Road,,,,,
PR02210,PR022,NAD83,No,n_a,n_a,n_a,-116.279806,56.658434,GIS,point,59,TRUE,20/06/2012,Road,,,,,
PR02214,PR022,NAD83,No,n_a,n_a,n_a,-116.250406,56.651023,GIS,point,59,TRUE,20/06/2012,Road,,,,,
PR02217,PR022,NAD83,No,n_a,n_a,n_a,-116.232919,56.647931,GIS,point,59,TRUE,20/06/2012,Road,,,,,
PR02281,PR022,NAD83,No,n_a,n_a,n_a,-116.225451,56.651698,GPS,point,59,TRUE,20/06/2012,Road,,,,,
PR02291,PR022,NAD83,No,n_a,n_a,n_a,-116.232235,56.688778,GPS,point,75,TRUE,20/06/2012,Road,,,,,
PR02292,PR022,NAD83,No,n_a,n_a,n_a,-116.229717,56.67096,GPS,point,75,TRUE,20/06/2012,Road,,,,,
PR02293,PR022,NAD83,No,n_a,n_a,n_a,-116.244406,56.675313,GPS,point,75,TRUE,20/06/2012,Road,,,,,
PR02294,PR022,NAD83,No,n_a,n_a,n_a,-116.230537,56.686141,GPS,point,75,TRUE,20/06/2012,Road,,,,,
PR02301,PR023,NAD83,No,n_a,n_a,n_a,-115.180951,56.695926,GIS,point,59,TRUE,13/06/2012,Road,,,,,
PR02302,PR023,NAD83,No,n_a,n_a,n_a,-115.139141,56.686886,GIS,point,75,TRUE,13/06/2012,Road,,,,,
PR02303,PR023,NAD83,No,n_a,n_a,n_a,-115.186209,56.691245,GIS,point,59,TRUE,13/06/2012,Road,,,,,
PR02305,PR023,NAD83,No,n_a,n_a,n_a,-115.182686,56.705619,GIS,point,59,TRUE,14/06/2012,Road,,,,,
PR02306,PR023,NAD83,No,n_a,n_a,n_a,-115.149697,56.682883,GIS,point,75,TRUE,13/06/2012,Road,,,,,
PR02307,PR023,NAD83,No,n_a,n_a,n_a,-115.175261,56.691062,GIS,point,59,TRUE,13/06/2012,Road,,,,,
PR02309,PR023,NAD83,No,n_a,n_a,n_a,-115.151668,56.725861,GIS,point,75,TRUE,14/06/2012,Road,,,,,
PR02311,PR023,NAD83,No,n_a,n_a,n_a,-115.192034,56.696782,GIS,point,59,TRUE,13/06/2012,Road,,,,,
PR02312,PR023,NAD83,No,n_a,n_a,n_a,-115.173265,56.716405,GIS,point,75,TRUE,14/06/2012,Road,,,,,
PR02313,PR023,NAD83,No,n_a,n_a,n_a,-115.15618,56.717953,GIS,point,75,TRUE,14/06/2012,Road,,,,,
