FT22207G-140606-013,FT22207G,FT22207G-1,06/06/2014,6:31:00 AM,n_a,1,28,CHSP,3,2,3,S,,,A,M,,,,,
FT22207N-140606-001,FT22207N,FT22207N-1,06/06/2014,7:24:00 AM,n_a,1,87,RCKI,1,1,1,S,,,A,M,,,,,
FT22207N-140606-002,FT22207N,FT22207N-1,06/06/2014,7:24:00 AM,n_a,1,87,WETA,1,1,2,S,,,A,M,,,,,
FT22207N-140606-003,FT22207N,FT22207N-1,06/06/2014,7:24:00 AM,n_a,1,87,WISN,1,1,2,S,,,A,U,WI,,,,
FT22207N-140606-004,FT22207N,FT22207N-1,06/06/2014,7:24:00 AM,n_a,1,87,UNWO,1,1,2,S,,,A,M,DR,CS,,,BBWO or ATTW 
FT22207N-140606-005,FT22207N,FT22207N-1,06/06/2014,7:24:00 AM,n_a,1,87,CHSP,1,2,1,S,,,A,M,CS,,,,
FT22207N-140606-006,FT22207N,FT22207N-1,06/06/2014,7:24:00 AM,n_a,1,87,PAWA,1,3,1,S,,,A,M,CS,,,,
FT22207N-140606-007,FT22207N,FT22207N-1,06/06/2014,7:24:00 AM,n_a,1,87,CHSP,1,3,1,S,,,A,M,CS,,,,
FT22207N-140606-008,FT22207N,FT22207N-1,06/06/2014,7:24:00 AM,n_a,1,87,UNKN,3,3,1,S,,,A,M,,,,,
FT22207N-140606-009,FT22207N,FT22207N-1,06/06/2014,7:24:00 AM,n_a,1,87,YRWA,5,3,2,S,,,A,M,,,,,
FT22207N-140606-010,FT22207N,FT22207N-1,06/06/2014,7:24:00 AM,n_a,1,87,RUGR,1,4,1,S,,,A,M,DR,,,,
FT22207N-140606-011,FT22207N,FT22207N-1,06/06/2014,7:24:00 AM,n_a,1,87,CHSP,1,4,1,S,,,A,M,CS,,,,
FT22207N-140606-012,FT22207N,FT22207N-1,06/06/2014,7:24:00 AM,n_a,1,87,UNWO,3,4,2,C,,,A,U,FT,,,Flew from NW to SE,
FT22207N-140606-013,FT22207N,FT22207N-1,06/06/2014,7:24:00 AM,n_a,1,87,PAWA,5,4,2,S,,,A,M,CS,,,,
FT22207N-140606-014,FT22207N,FT22207N-1,06/06/2014,7:24:00 AM,n_a,1,87,UNWO,5,4,2,S,,,A,M,DR,,,,
FT22207S-140606-001,FT22207S,FT22207S-1,06/06/2014,8:42:00 AM,n_a,1,87,RCKI,5,1,1,S,,,A,M,CS,,,,
FT22207S-140606-002,FT22207S,FT22207S-1,06/06/2014,8:42:00 AM,n_a,1,87,CHSP,5,1,1,S,,,A,M,,,,,
FT22207S-140606-003,FT22207S,FT22207S-1,06/06/2014,8:42:00 AM,n_a,1,87,YRWA,3,1,1,C,,,U,U,,,,,*Recorded as UNKN
FT22207S-140606-004,FT22207S,FT22207S-1,06/06/2014,8:42:00 AM,n_a,1,87,YRWA,3,1,1,C,,,U,U,,,,,*Recorded as UNKN
FT22207S-140606-005,FT22207S,FT22207S-1,06/06/2014,8:42:00 AM,n_a,1,87,RCKI,1,1,1,V,,,A,U,FE,,,,
FT22207S-140606-006,FT22207S,FT22207S-1,06/06/2014,8:42:00 AM,n_a,1,87,RESQ,1,2,1,C,,,A,U,,,,,
FT22207S-140606-007,FT22207S,FT22207S-1,06/06/2014,8:42:00 AM,n_a,1,87,RCKI,5,2,1,S,,,A,M,CS,,,,
FT22207S-140606-008,FT22207S,FT22207S-1,06/06/2014,8:42:00 AM,n_a,1,87,DEJU,1,3,1,S,,,A,M,,,,,
FT22207S-140606-009,FT22207S,FT22207S-1,06/06/2014,8:42:00 AM,n_a,1,87,YRWA,1,3,1,C,,,U,U,,,,,*Recorded as UNKN
FT22207S-140606-010,FT22207S,FT22207S-1,06/06/2014,8:42:00 AM,n_a,1,87,PAWA,1,4,1,S,,,A,M,CS,,,,
FT22207S-140606-011,FT22207S,FT22207S-1,06/06/2014,8:42:00 AM,n_a,1,87,PAWA,1,4,1,S,,,A,M,CS,,,,
FT22207S-140606-012,FT22207S,FT22207S-1,06/06/2014,8:42:00 AM,n_a,1,87,COYE,5,1,2,S,,,A,M,,,,,"fast song, possible MAWA?"
FT22208G-140606-001,FT22208G,FT22208G-1,06/06/2014,5:49:00 AM,n_a,1,28,WIWR,1,1,1,S,,,A,M,,,,,
FT22208G-140606-002,FT22208G,FT22208G-1,06/06/2014,5:49:00 AM,n_a,1,28,PHVI,1,2,1,S,,,A,M,,,,,
FT22208G-140606-003,FT22208G,FT22208G-1,06/06/2014,5:49:00 AM,n_a,1,28,BAWW,1,2,1,S,,,A,M,,,,,
FT22208G-140606-004,FT22208G,FT22208G-1,06/06/2014,5:49:00 AM,n_a,1,28,RBGR,1,2,1,S,,,A,M,,,,,
FT22208G-140606-005,FT22208G,FT22208G-1,06/06/2014,5:49:00 AM,n_a,1,28,TEWA,1,3,1,S,,,A,M,,,,,
FT22208G-140606-006,FT22208G,FT22208G-1,06/06/2014,5:49:00 AM,n_a,1,28,SWTH,1,4,1,C,,,A,U,,,,,
FT22208G-140606-007,FT22208G,FT22208G-1,06/06/2014,5:49:00 AM,n_a,1,28,NOWA,1,2,2,S,,,A,M,,,,,
FT22208G-140606-008,FT22208G,FT22208G-1,06/06/2014,5:49:00 AM,n_a,1,28,NOWA,1,3,2,S,,,A,M,,,,,
FT22208G-140606-009,FT22208G,FT22208G-1,06/06/2014,5:49:00 AM,n_a,1,28,GRAJ,3,3,2,C,,,U,U,,,,,
FT22208G-140606-010,FT22208G,FT22208G-1,06/06/2014,5:49:00 AM,n_a,1,28,LISP,3,4,2,S,,,A,M,,,,,
FT22208G-140606-011,FT22208G,FT22208G-1,06/06/2014,5:49:00 AM,n_a,1,28,WISN,1,2,3,S,,,A,U,WI,,,,
FT22208G-140606-012,FT22208G,FT22208G-1,06/06/2014,5:49:00 AM,n_a,1,28,WTSP,3,4,3,S,,,A,M,,,,,
FT22209G-140606-001,FT22209G,FT22209G-1,06/06/2014,5:08:00 AM,n_a,1,28,WTSP,1,2,1,C,,,A,U,,,,,
FT22209G-140606-002,FT22209G,FT22209G-1,06/06/2014,5:08:00 AM,n_a,1,28,WTSP,1,4,2,S,,,A,M,,,,,
FT22209G-140606-003,FT22209G,FT22209G-1,06/06/2014,5:08:00 AM,n_a,1,28,WTSP,1,4,2,S,,,A,M,,,,,
FT22209G-140606-004,FT22209G,FT22209G-1,06/06/2014,5:08:00 AM,n_a,1,28,SWTH,1,3,1,C,,,A,U,,,,,
FT22209G-140606-005,FT22209G,FT22209G-1,06/06/2014,5:08:00 AM,n_a,1,28,SWTH,1,2,2,S,,,A,M,,,,,
FT22209G-140606-006,FT22209G,FT22209G-1,06/06/2014,5:08:00 AM,n_a,1,28,RESQ,1,4,1,S,,,A,U,,,,,
FT22209G-140606-007,FT22209G,FT22209G-1,06/06/2014,5:08:00 AM,n_a,1,28,RCKI,1,4,1,S,,,A,M,,,,,
FT22209G-140606-008,FT22209G,FT22209G-1,06/06/2014,5:08:00 AM,n_a,1,28,TEWA,5,1,2,S,,,A,M,,,,,
FT22209G-140606-009,FT22209G,FT22209G-1,06/06/2014,5:08:00 AM,n_a,1,28,BAWW,1,3,2,S,,,A,M,,,,,
FT22209G-140606-010,FT22209G,FT22209G-1,06/06/2014,5:08:00 AM,n_a,1,28,NOWA,1,3,2,S,,,A,M,,,,,
FT22209G-140606-011,FT22209G,FT22209G-1,06/06/2014,5:08:00 AM,n_a,1,28,RBGR,5,4,2,S,,,A,M,,,,,
FT22209G-140606-012,FT22209G,FT22209G-1,06/06/2014,5:08:00 AM,n_a,1,28,ALFL,1,4,2,S,,,A,M,,,,,
FT22209G-140606-013,FT22209G,FT22209G-1,06/06/2014,5:08:00 AM,n_a,1,28,YBSA,3,4,2,S,,,A,U,DR,,,,
FT22301G-140606-001,FT22301G,FT22301G-1,06/06/2014,6:40:00 AM,n_a,1,32,SWTH,5,1,1,S,,,A,M,,,,,
FT22301G-140606-002,FT22301G,FT22301G-1,06/06/2014,6:40:00 AM,n_a,1,32,TEWA,1,1,1,S,,,A,M,,,,,
FT22301G-140606-003,FT22301G,FT22301G-1,06/06/2014,6:40:00 AM,n_a,1,32,GRAJ,1,1,2,V,C,,U,U,,,,,
FT22301G-140606-004,FT22301G,FT22301G-1,06/06/2014,6:40:00 AM,n_a,1,32,GRAJ,1,1,2,V,C,,U,U,,,,,
FT22301G-140606-005,FT22301G,FT22301G-1,06/06/2014,6:40:00 AM,n_a,1,32,TEWA,1,1,2,S,,,A,M,,,,,
FT22301G-140606-006,FT22301G,FT22301G-1,06/06/2014,6:40:00 AM,n_a,1,32,WTSP,1,1,2,S,,,A,M,,,,,
FT22301G-140606-007,FT22301G,FT22301G-1,06/06/2014,6:40:00 AM,n_a,1,32,WTSP,1,1,2,S,,,A,M,,,,,
FT22301G-140606-008,FT22301G,FT22301G-1,06/06/2014,6:40:00 AM,n_a,1,32,OVEN,1,1,2,S,,,A,M,,,,,
FT22301G-140606-009,FT22301G,FT22301G-1,06/06/2014,6:40:00 AM,n_a,1,32,CHSP,1,3,1,S,,,A,M,,,,,
FT22301G-140606-010,FT22301G,FT22301G-1,06/06/2014,6:40:00 AM,n_a,1,32,WTSP,5,3,2,S,,,A,M,,,,,
FT22301G-140606-011,FT22301G,FT22301G-1,06/06/2014,6:40:00 AM,n_a,1,32,WIWR,5,4,2,S,,,A,M,,,,,
FT22301G-140606-012,FT22301G,FT22301G-1,06/06/2014,6:40:00 AM,n_a,1,32,CONW,1,4,1,S,,,A,M,,,,,
FT22302G-140606-001,FT22302G,FT22302G-1,06/06/2014,7:24:00 AM,n_a,1,32,TEWA,1,1,2,S,,,A,M,,,,,
FT22302G-140606-002,FT22302G,FT22302G-1,06/06/2014,7:24:00 AM,n_a,1,32,OVEN,1,1,2,S,,,A,M,,,,,
FT22302G-140606-003,FT22302G,FT22302G-1,06/06/2014,7:24:00 AM,n_a,1,32,WTSP,1,1,3,S,,,A,M,,,,,
FT22302G-140606-004,FT22302G,FT22302G-1,06/06/2014,7:24:00 AM,n_a,1,32,TEWA,1,2,1,S,,,A,M,,,,,
FT22302G-140606-005,FT22302G,FT22302G-1,06/06/2014,7:24:00 AM,n_a,1,32,GRAJ,1,2,2,C,,,U,U,,,,,
FT22302G-140606-006,FT22302G,FT22302G-1,06/06/2014,7:24:00 AM,n_a,1,32,WTSP,1,2,3,S,,,A,M,,,,,
FT22302G-140606-007,FT22302G,FT22302G-1,06/06/2014,7:24:00 AM,n_a,1,32,CONW,1,3,1,S,,,A,M,,,,,
FT22302G-140606-008,FT22302G,FT22302G-1,06/06/2014,7:24:00 AM,n_a,1,32,TEWA,1,4,2,S,,,A,M,,,,,
FT22302G-140606-009,FT22302G,FT22302G-1,06/06/2014,7:24:00 AM,n_a,1,32,OVEN,1,4,2,S,,,A,M,,,,,
FT22302G-140606-010,FT22302G,FT22302G-1,06/06/2014,7:24:00 AM,n_a,1,32,SWTH,5,4,2,S,,,A,M,,,,,
FT22302G-140606-011,FT22302G,FT22302G-1,06/06/2014,7:24:00 AM,n_a,1,32,RUGR,1,4,2,S,,,A,M,DR,,,,
FT22303G-140606-001,FT22303G,FT22303G-1,06/06/2014,8:00:00 AM,n_a,1,32,SOSA,1,1,1,C,,,A,U,,,,,
FT22303G-140606-002,FT22303G,FT22303G-1,06/06/2014,8:00:00 AM,n_a,1,32,SOSA,1,1,1,C,,,A,U,,,,,
FT22303G-140606-003,FT22303G,FT22303G-1,06/06/2014,8:00:00 AM,n_a,1,32,TEWA,1,1,2,S,,,A,M,,,,Rattle,
FT22303G-140606-004,FT22303G,FT22303G-1,06/06/2014,8:00:00 AM,n_a,1,32,PIWO,3,1,2,S,,,A,M,,,,,
FT22303G-140606-005,FT22303G,FT22303G-1,06/06/2014,8:00:00 AM,n_a,1,32,RBNU,5,1,2,C,,,A,U,,,,,
FT22303G-140606-006,FT22303G,FT22303G-1,06/06/2014,8:00:00 AM,n_a,1,32,OVEN,1,2,2,S,,,A,M,,,,,
FT22303G-140606-007,FT22303G,FT22303G-1,06/06/2014,8:00:00 AM,n_a,1,32,WTSP,5,3,1,S,,,A,M,,,,,
FT22303G-140606-008,FT22303G,FT22303G-1,06/06/2014,8:00:00 AM,n_a,1,32,RUBL,5,3,1,C,,,A,U,,,,,
FT22303G-140606-009,FT22303G,FT22303G-1,06/06/2014,8:00:00 AM,n_a,1,32,BAWW,1,3,2,S,,,A,M,,,,,
FT22303G-140606-010,FT22303G,FT22303G-1,06/06/2014,8:00:00 AM,n_a,1,32,CONW,1,4,1,S,,,A,M,,,,,
FT22303G-140606-011,FT22303G,FT22303G-1,06/06/2014,8:00:00 AM,n_a,1,32,TEWA,1,4,1,S,,,A,M,,,,,
FT22303G-140606-012,FT22303G,FT22303G-1,06/06/2014,8:00:00 AM,n_a,1,32,TEWA,1,4,2,S,,,A,M,,,,,
FT22303G-140606-013,FT22303G,FT22303G-1,06/06/2014,8:00:00 AM,n_a,1,32,WTSP,1,4,3,S,,,A,M,,,,,
FT22304G-140606-001,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,COYE,1,1,1,S,,,A,M,,,,,
FT22304G-140606-002,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,CONW,1,1,2,S,,,A,M,,,,,
FT22304G-140606-003,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,CONW,5,1,2,S,,,A,M,,,,,
FT22304G-140606-004,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,WTSP,1,1,2,S,,,A,M,,,,,
FT22304G-140606-005,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,NOFL,1,1,2,S,,,A,M,DR,,,,
FT22304G-140606-006,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,MAWA,1,1,2,S,,,A,M,,,,,
FT22304G-140606-007,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,GRAJ,1,1,2,C,,,U,U,,,,,
FT22304G-140606-008,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,OVEN,1,1,3,S,,,A,M,,,,,
FT22304G-140606-009,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,PAWA,1,2,1,S,,,A,M,,,,,
FT22304G-140606-010,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,RCKI,1,3,2,S,,,A,M,,,,,
FT22304G-140606-011,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,WTSP,1,4,1,S,,,A,M,,,,,
FT22304G-140606-012,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,RECR,5,4,2,C,,,U,U,FO,,,,
FT22304G-140606-013,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,YBFL,1,4,2,S,,,A,M,,,,,
FT22304G-140606-014,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,RCKI,1,4,2,S,,,A,M,,,,,
FT22304G-140606-015,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,WTSP,1,4,3,S,,,A,M,,,,,
FT22304G-140606-016,FT22304G,FT22304G-1,06/06/2014,6:07:00 AM,n_a,1,32,CHSP,3,2,3,S,,,A,M,,,,,
FT22305G-140606-001,FT22305G,FT22305G-1,06/06/2014,8:44:00 AM,n_a,1,32,TEWA,1,1,1,S,,,A,M,,,,,
FT22305G-140606-002,FT22305G,FT22305G-1,06/06/2014,8:44:00 AM,n_a,1,32,GRAJ,1,1,1,C,,,U,U,,,,,
FT22305G-140606-003,FT22305G,FT22305G-1,06/06/2014,8:44:00 AM,n_a,1,32,GRAJ,1,1,1,C,,,U,U,,,,,
FT22305G-140606-004,FT22305G,FT22305G-1,06/06/2014,8:44:00 AM,n_a,1,32,OVEN,1,1,2,S,,,A,M,,,,,
FT22305G-140606-005,FT22305G,FT22305G-1,06/06/2014,8:44:00 AM,n_a,1,32,PAWA,1,1,2,S,,,A,M,,,,,
FT22305G-140606-006,FT22305G,FT22305G-1,06/06/2014,8:44:00 AM,n_a,1,32,LISP,5,1,2,S,,,A,M,,,,,
FT22305G-140606-007,FT22305G,FT22305G-1,06/06/2014,8:44:00 AM,n_a,1,32,MAWA,3,1,2,S,,,A,M,,,,,
FT22305G-140606-008,FT22305G,FT22305G-1,06/06/2014,8:44:00 AM,n_a,1,32,TEWA,1,2,2,S,,,A,M,,,,,
FT22305G-140606-009,FT22305G,FT22305G-1,06/06/2014,8:44:00 AM,n_a,1,32,BAWW,1,3,1,S,,,A,M,,,,,
FT22305G-140606-010,FT22305G,FT22305G-1,06/06/2014,8:44:00 AM,n_a,1,32,COYE,1,4,2,S,,,A,M,,,,,
FT22305G-140606-011,FT22305G,FT22305G-1,06/06/2014,8:44:00 AM,n_a,1,32,WTSP,5,4,2,S,,,A,M,,,,,
FT22306G-140606-001,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,GRAJ,1,1,1,C,,,U,U,,,,,
FT22306G-140606-002,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,GRAJ,1,1,1,C,,,U,U,,,,,
FT22306G-140606-003,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,GRAJ,1,1,1,C,,,U,U,,,,,
FT22306G-140606-004,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,ALFL,5,1,2,S,,,A,M,,,,,
FT22306G-140606-005,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,MAWA,1,1,2,S,,,A,M,,,,,
FT22306G-140606-006,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,RUGR,1,1,2,S,,,A,M,DR,,,,
FT22306G-140606-007,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,OVEN,1,1,2,S,,,A,M,,,,,
FT22306G-140606-008,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,COYE,1,1,2,S,,,A,M,,,,,
FT22306G-140606-009,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,YRWA,5,1,2,S,,,A,M,,,,,
FT22306G-140606-010,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,CONW,1,2,2,S,,,A,M,,,,,
FT22306G-140606-011,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,COYE,5,2,2,S,,,A,M,,,,,
FT22306G-140606-012,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,RWBL,5,2,2,S,,,A,M,,,,,
FT22306G-140606-013,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,WTSP,3,3,1,S,,,A,M,,,,,
FT22306G-140606-014,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,MAWA,3,3,1,S,,,A,M,,,,,
FT22306G-140606-015,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,WTSP,3,3,2,S,,,A,M,,,,,
FT22306G-140606-016,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,AMRE,3,3,2,S,,,A,M,,,,,
FT22306G-140606-017,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,PAWA,1,4,2,S,,,A,M,,,,,
FT22306G-140606-018,FT22306G,FT22306G-1,06/06/2014,9:08:00 AM,n_a,1,32,GRYE,3,4,3,C,,,A,U,,,,,
FT22306N-140606-001,FT22306N,FT22306N-1,06/06/2014,8:00:00 AM,n_a,1,63,RCKI,1,1,2,S,,,A,M,,,,,
FT22306N-140606-002,FT22306N,FT22306N-1,06/06/2014,8:00:00 AM,n_a,1,63,LISP,5,1,2,S,,,A,M,,,,,
FT22306N-140606-003,FT22306N,FT22306N-1,06/06/2014,8:00:00 AM,n_a,1,63,RCKI,1,2,2,S,,,A,M,,,,,
FT22306N-140606-004,FT22306N,FT22306N-1,06/06/2014,8:00:00 AM,n_a,1,63,GRAJ,1,3,1,C,,,U,U,,,,,
FT22306N-140606-005,FT22306N,FT22306N-1,06/06/2014,8:00:00 AM,n_a,1,63,WTSP,5,3,2,S,,,A,M,,,,,
FT22306N-140606-006,FT22306N,FT22306N-1,06/06/2014,8:00:00 AM,n_a,1,63,GRAJ,5,4,2,C,,,U,U,,,,,
FT22306S-140606-001,FT22306S,FT22306S-1,06/06/2014,7:26:00 AM,n_a,1,63,LISP,1,1,1,S,,,A,M,,,,,
FT22306S-140606-002,FT22306S,FT22306S-1,06/06/2014,7:26:00 AM,n_a,1,63,RCKI,5,1,2,S,,,A,M,,,,,
FT22306S-140606-003,FT22306S,FT22306S-1,06/06/2014,7:26:00 AM,n_a,1,63,BOCH,1,3,1,C,V,,A,P,,,,,
FT22306S-140606-004,FT22306S,FT22306S-1,06/06/2014,7:26:00 AM,n_a,1,63,BOCH,1,3,1,C,V,,A,P,,,,,
FT22306S-140606-005,FT22306S,FT22306S-1,06/06/2014,7:26:00 AM,n_a,1,63,CHSP,1,3,1,S,,,A,M,,,,,
FT22306S-140606-006,FT22306S,FT22306S-1,06/06/2014,7:26:00 AM,n_a,1,63,WTSP,3,3,2,S,,,A,M,,,,,
FT22306S-140606-007,FT22306S,FT22306S-1,06/06/2014,7:26:00 AM,n_a,1,63,LISP,1,4,2,S,,,A,M,,,,,
FT22306S-140606-008,FT22306S,FT22306S-1,06/06/2014,7:26:00 AM,n_a,1,63,PAWA,1,4,2,S,,,A,M,,,,,
FT22307G-140606-001,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,LISP,1,1,1,S,,,A,M,,,,,
FT22307G-140606-002,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,RCKI,1,1,1,S,,,A,M,,,,,
FT22307G-140606-003,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,HETH,1,1,1,S,,,A,M,,,,,
FT22307G-140606-004,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,HETH,1,1,2,S,,,A,M,,,,,
FT22307G-140606-005,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,WTSP,3,1,3,S,,,A,M,,,,,
FT22307G-140606-006,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,WTSP,5,1,3,S,,,A,M,,,,,
FT22307G-140606-007,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,GRYE,5,1,3,C,,,A,U,,,,,
FT22307G-140606-008,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,RUBL,1,2,2,C,,,A,P,,,,,
FT22307G-140606-009,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,RUBL,1,2,2,C,,,A,P,,,,,
FT22307G-140606-010,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,MAWA,1,3,1,S,,,A,M,,,,,
FT22307G-140606-011,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,YBFL,5,3,2,S,,,A,M,,,,,
FT22307G-140606-012,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,WTSP,5,3,2,S,,,A,M,,,,,
FT22307G-140606-013,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,RCKI,5,3,2,S,,,A,M,,,,,
FT22307G-140606-014,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,UNOW,5,3,2,C,S,,U,U,,,,,"Unidentified owl. Could be another GGOW, but unclear. Far and doesn't calls more than 1-2."
FT22307G-140606-015,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,TEWA,1,4,1,S,,,A,M,,,,,
FT22307G-140606-016,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,GRAJ,1,4,1,C,,,U,U,,,,,
FT22307G-140606-017,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,CHSP,3,4,2,S,,,A,M,,,,,
FT22307G-140606-018,FT22307G,FT22307G-1,06/06/2014,5:35:00 AM,n_a,1,32,PAWA,5,4,2,S,,,A,M,,,,,
FT22307N-140606-001,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,TEWA,1,1,1,S,,,A,M,CS,,,,
FT22307N-140606-002,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,MAWA,1,1,1,S,,,A,M,,,,,
FT22307N-140606-003,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,WTSP,1,1,1,S,,,A,M,CS,,,,
FT22307N-140606-004,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,WTSP,1,1,2,S,,,A,M,CS,,,,
FT22307N-140606-005,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,WISN,5,1,2,S,,,A,M,,,,,
FT22307N-140606-006,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,UNWO,1,1,3,S,,,A,M,DR,,,,
FT22307N-140606-007,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,LISP,1,2,1,S,,,A,M,,,,,
FT22307N-140606-008,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,PAWA,1,2,2,S,,,A,M,,,,,
FT22307N-140606-009,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,WWCR,1,3,1,C,,,U,U,FO,,,,
FT22307N-140606-010,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,GRAJ,3,3,2,C,,,U,U,,,,,
FT22307N-140606-011,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,SWTH,1,3,2,S,,,A,M,,,,,
FT22307N-140606-012,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,RCKI,1,3,2,S,,,A,M,,,,,
FT22307N-140606-013,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,YRWA,5,3,2,S,,,A,M,,,,,
FT22307N-140606-014,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,PAWA,1,4,1,S,,,A,M,,,,,
FT22307N-140606-015,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,SWSP,1,4,1,S,,,A,M,,,,,
FT22307N-140606-016,FT22307N,FT22307N-1,06/06/2014,5:42:00 AM,n_a,1,63,TEWA,1,4,2,S,,,A,M,CS,,,,
FT22307W-140606-001,FT22307W,FT22307W-1,06/06/2014,4:48:00 AM,n_a,1,63,PAWA,1,1,1,S,,,A,M,CS,,,,
FT22307W-140606-002,FT22307W,FT22307W-1,06/06/2014,4:48:00 AM,n_a,1,63,WTSP,1,1,2,S,,,A,M,CS,,,,
FT22307W-140606-003,FT22307W,FT22307W-1,06/06/2014,4:48:00 AM,n_a,1,63,LISP,1,2,2,S,,,A,M,,,,,
FT22307W-140606-004,FT22307W,FT22307W-1,06/06/2014,4:48:00 AM,n_a,1,63,PAWA,1,2,2,S,,,A,M,CS,,,,
FT22307W-140606-005,FT22307W,FT22307W-1,06/06/2014,4:48:00 AM,n_a,1,63,SWSP,1,3,1,S,,,A,M,,,,,
FT22307W-140606-006,FT22307W,FT22307W-1,06/06/2014,4:48:00 AM,n_a,1,63,RCKI,1,4,1,S,,,A,M,,,,,
FT22307W-140606-007,FT22307W,FT22307W-1,06/06/2014,4:48:00 AM,n_a,1,63,GRAJ,1,4,1,C,,,U,U,,,,,
FT22307W-140606-008,FT22307W,FT22307W-1,06/06/2014,4:48:00 AM,n_a,1,63,WTSP,1,4,2,S,,,A,M,CS,,,,
