6/23/2014,CO21812G,CO21812G-1,87,4:12:00 AM,n_a,1,3,0,16.2,3,3,0,13.5,3,4:22:00 AM,2,N,"Highway 881, machinery and mosquitos.  A WETA sang to the NE at 50-100m after PC."
6/23/2014,CO21813G,CO21813G-1,87,4:58:00 AM,n_a,1,2,0,15.6,3,2,0,14.6,3,5:08:00 AM,2,N,"HWY 881, machinery, mosquitos."
6/23/2014,CO21814G,CO21814G-1,87,9:26:00 AM,n_a,1,0,0,17.5,3,0,0,17.9,3,9:36:00 AM,3,N,"A grader and intermittent trucks passed on the road, less than 10m to the South.  Noise level intermittently to 4."
6/23/2014,CO21815G,CO21815G-1,87,7:38:00 AM,n_a,1,0,0,16.9,2,1,0,16.8,3,7:48:00 AM,1,N,Mosquito noise.
6/23/2014,CO21816G,CO21816G-1,87,6:58:00 AM,n_a,1,1,0,17.3,3,1,0,16.1,2,7:08:00 AM,1,N,"Machinery, mosquitos and TEWA noise."
6/23/2014,CO21817G,CO21817G-1,87,6:19:00 AM,n_a,1,0,3,15.6,3,1,0,16,2,6:29:00 AM,2,N,HWY 881 traffic
6/23/2014,CO21818G,CO21818G-1,87,5:38:00 AM,n_a,1,0,2,15.4,3,1,0,14.7,3,5:48:00 AM,3,N,Noise to 4 at ~7:30: HWY 881 traffic and machinery.  
6/29/2014,CO22201G,CO22201G-1,26,6:18:00 AM,n_a,1,0,0,13.4,0,1,0,13.1,0,6:28:00 AM,3,N,NOISE DUE TO OIL REFINERY <1KM EAST. I CAN HEAR OTHER BIRDS BUT THEY ARE >150M DISTANCE AND I CANNOT HEAR CLEAR ENOUGH TO ID. WIND GUSTING FROM 0 TO 2. 
6/29/2014,CO22201N,CO22201N-1,87,9:11:00 AM,n_a,1,3,0,19.3,0,2,0,19.6,0,9:21:00 AM,3,N,"HWY 881 and Nexen Road, wind gusts to 5.BBWA sang within 50m in SW after PC."
6/29/2014,CO22201P,CO22201P-1,87,8:13:00 AM,n_a,1,3,0,17.5,0,3,0,17.2,0,8:23:00 AM,3,N,"HWY 881 and Nexen Road, machinery and booming cannon, wind gusts to 5."
6/29/2014,CO22202G,CO22202G-1,26,6:51:00 AM,n_a,1,1,0,14,3,0,0,15.2,3,7:01:00 AM,3,N,"NOISE DUE TO OIL REFINERY <1KM EAST. 2 SEISMIC LINES ON SITE, BOTH ~3M WIDE"
6/29/2014,CO22203G,CO22203G-1,26,7:24:00 AM,n_a,1,0,0,16.2,3,0,0,17.9,3,7:34:00 AM,3,N,EVGR CALL BEFORE PC <50M IN QUADRANT 3. NOISE DUE TO TRAIN (N) AND OIL REFINERY <1.5KM TO THE EAST
6/29/2014,CO22204G,CO22204G-1,26,7:52:00 AM,n_a,1,2,0,17.2,3,2,0,16.6,3,8:02:00 AM,2,N,"NOISE DUE TO WIND, MOSQUITOES AND OIL REFINERY <2KM EAST. WIND GUSTING TO 3. SEISMIC LINE ~7M WIDE."
6/29/2014,CO22205G,CO22205G-1,26,9:21:00 AM,n_a,1,0,0,19.7,0,0,0,20.3,0,9:31:00 AM,2,N,
6/29/2014,CO22206G,CO22206G-1,26,5:44:00 AM,n_a,1,0,0,11.2,0,0,0,11.3,0,5:54:00 AM,3,N,NOLISE DUE TO OIL REFINERY <1KM EAST
6/29/2014,CO22207G,CO22207G-1,26,5:02:00 AM,n_a,1,0,0,13.5,0,0,0,12.5,0,5:12:00 AM,3,N,CEDW CALLING <50M IN QUADRANT 4 AFTER PC. NOISE DUE TO OIL REFINERY WITHIN 1KM EAST
6/29/2014,CO22208G,CO22208G-1,26,9:44:00 AM,n_a,1,0,0,22.1,0,1,0,22.8,0,9:54:00 AM,2,N,"NOISE DUE TO HORSEFLIES, MOSQUITOES AND OIL REFINERY TO THE EAST. SWSP SANG <50M IN QUADRANT 3 AFTER PC. "
6/29/2014,CO22209G,CO22209G-1,26,8:39:00 AM,n_a,1,2,0,17.6,3,3,0,18.4,3,8:49:00 AM,2,N,WIND GUSTING TO 4. NOISE DUE TO MOSQUITOES AND WIND
6/29/2014,CO22210N,CO22210N-1,87,6:05:00 AM,n_a,1,3,0,15,0,3,0,14.2,0,6:15:00 AM,1,N,PC is on an old seismic line 2m wide.  Mosquito noise.  A BRCR sang within 50m in SW after PC.
6/29/2014,CO22210S,CO22210S-1,87,5:30:00 AM,n_a,1,2,0,14.1,0,3,0,13,0,5:40:00 AM,1,N,Mosquitos.
6/29/2014,CO22211N,CO22211N-1,87,4:39:00 AM,n_a,1,2,0,16.7,0,2,0,15.3,0,4:49:00 AM,1,N,Intermittent cannon fired and mosquitos.  REVI within 50m sang in NW  and a BRCR sang within 50m in NE after the PC.
6/29/2014,CO22211P,CO22211P-1,87,7:07:00 AM,n_a,1,3,0,16.8,0,3,0,17.7,0,7:17:00 AM,1,N,HWY 881 and nearby Nexen Camp and Plant.  A LCSP countersang in NE and a SOSP sang in SE within 50m after the PC.
6/28/2014,CO22401N,CO22401N-1,26,4:06:00 AM,n_a,1,0,1,7.7,0,0,1,5.7,1,4:16:00 AM,0,N,PERCIPITATION - FOG
6/28/2014,CO22401S,CO22401S-1,87,4:42:00 AM,n_a,1,1,0,9.1,1,1,0,7.4,1,4:52:00 AM,1,N,Intermittent sounds of a stuck Argo and machine booming.  A COLO sang and called >100m to SE and a UNYE sang to the South 50-100m after the SC.
6/28/2014,CO22402N,CO22402N-1,26,4:47:00 AM,n_a,1,0,1,6,1,0,1,5.1,1,4:57:00 AM,1,N,NOISE DUE TO JONATHAN GETTING THE ARGO STUCK. PRECIPITATION - FOG.
6/28/2014,CO22402W,CO22402W-1,87,5:32:00 AM,n_a,1,0,1,10.6,1,0,0,10,1,5:42:00 AM,1,N,Intermittent ARGO motor and a train passed.
6/28/2014,CO22403N,CO22403N-1,26,5:31:00 AM,n_a,1,0,1,8.1,1,0,1,6.8,1,5:41:00 AM,2,N,"NOISE DUE TO JONATHAN WITH THE ARGO AND A PASSING TRAIN. PAUSED THE PC AT 4:30MINS DUE TO PASSING TRAIN, CONTINUED 5 MINS LATER. PRECIPITATION - FOG. COLO SINGING, FOTE CALLING AND GRYE CALLING ALREADY RECORDED IN PREVIOUS PC. "
6/28/2014,CO22403W,CO22403W-1,87,6:30:00 AM,n_a,1,0,0,14.3,1,0,0,14,1,6:40:00 AM,2,N,Intermitent pounding. A SACR to the West called over 100m  is likely the same as in 02W (not recorded here).
6/28/2014,CO22404N,CO22404N-1,26,6:03:00 AM,n_a,1,0,0,9.2,1,0,0,9.4,1,6:13:00 AM,1,N,NOISE DUE TO MOSQUITOES. COLO SINGING ALREADY RECORDED IN PREVIOUS PC
6/28/2014,CO22404W,CO22404W-1,87,7:24:00 AM,n_a,1,2,0,21,1,2,0,23.8,0,7:34:00 AM,1,N,Intermitent pounding and machinery.
6/28/2014,CO22405N,CO22405N-1,26,6:45:00 AM,n_a,1,0,0,15.4,1,0,0,20.5,1,6:55:00 AM,0,N,
6/28/2014,CO22405W,CO22405W-1,87,8:12:00 AM,n_a,1,1,0,23.8,1,2,0,26.8,0,8:22:00 AM,1,N,Mosquitos.
6/28/2014,CO22406N,CO22406N-1,26,7:21:00 AM,n_a,1,0,0,19.4,1,0,0,19.1,1,7:31:00 AM,0,N,SORRY FOR THE STOMACH GROWLING… 2 COLO SINGING ALREADY RECORDED IN PREVIOUS PC
6/28/2014,CO22406W,CO22406W-1,63,7:33:00 AM,n_a,1,0,0,12,0,0,0,13,0,7:43:00 AM,0,N,
6/28/2014,FT20001G,FT20001G-1,32,7:25:00 AM,n_a,1,0,0,13.4,0,0,0,13.6,0,7:35:00 AM,1,N,
6/28/2014,FT20002G,FT20002G-1,32,6:55:00 AM,n_a,1,0,0,12.6,0,0,0,13.6,0,7:05:00 AM,1,N,Noise: mosquitoes and MOSA area
6/28/2014,FT20003G,FT20003G-1,32,6:20:00 AM,n_a,1,0,0,13.6,0,0,0,10.7,0,6:30:00 AM,1,N,Noise: bird scareing cannons (faint and far)
6/28/2014,FT20003N,FT20003N-1,32,8:00:00 AM,n_a,1,0,0,19.5,0,0,0,21.7,0,8:10:00 AM,1,N,Noise: MOSA (faint and far)
6/28/2014,FT20003P,FT20003P-1,32,8:30:00 AM,n_a,1,0,0,22.4,0,1,0,22.9,3,8:40:00 AM,1,N,Noise: stream
6/28/2014,FT20004G,FT20004G-1,28,8:40:00 AM,n_a,1,0,0,20.1,0,0,0,17.1,0,8:50:00 AM,1,N,
6/28/2014,FT20005G,FT20005G-1,28,8:10:00 AM,n_a,1,0,0,16.9,0,0,0,17.8,0,8:20:00 AM,1,N,
6/28/2014,FT20006G,FT20006G-1,28,6:13:00 AM,n_a,1,0,0,14.2,0,0,0,12.4,0,6:23:00 AM,1,N,
6/28/2014,FT20007G,FT20007G-1,28,7:36:00 AM,n_a,1,0,0,17.2,0,0,0,16,0,7:46:00 AM,1,N,Heli flew by. Recorder Lost power partway thru point count
6/28/2014,FT20008G,FT20008G-1,28,7:05:00 AM,n_a,1,0,0,15.5,0,0,0,14.8,0,7:15:00 AM,1,N,
6/28/2014,FT20009G,FT20009G-1,28,6:41:00 AM,n_a,1,0,0,14,0,0,0,14.1,0,6:51:00 AM,1,N,
6/28/2014,FT20010N,FT20010N-1,32,10:00:00 AM,n_a,1,2,0,20.4,0,3,0,20.6,0,10:10:00 AM,1,N,Noise: mosquitoes and MOSA area
6/28/2014,FT20010R,FT20010R-1,28,9:45:00 AM,n_a,1,1,0,24.7,0,1,0,24.5,0,9:55:00 AM,0,N,
07/01/2014,FT20401G,FT20401G-1,32,5:05:00 AM,n_a,1,0,0,14.8,2,0,0,8,2,5:15:00 AM,1,N,Noise from Suncor's pad in the background
07/01/2014,FT20401N,FT20401N-1,28,6:33:00 AM,n_a,1,0,0,14.5,0,0,0,13.8,0,6:43:00 AM,1,N,
07/01/2014,FT20401P,FT20401P-1,28,4:47:00 AM,n_a,1,0,0,11,1,0,0,12.3,1,4:57:00 AM,1,N,
07/01/2014,FT20402G,FT20402G-1,32,8:25:00 AM,n_a,1,0,0,19,1,1,0,20,1,8:35:00 AM,1,N,Noise: from heavy equipment in the distance (not continuous). Well pad is 40 x 40m
07/01/2014,FT20402N,FT20402N-1,28,6:59:00 AM,n_a,1,0,0,14.8,0,0,0,15.7,0,7:09:00 AM,0,N,
07/01/2014,FT20402P,FT20402P-1,28,5:07:00 AM,n_a,1,0,0,12.1,1,0,0,11.8,1,5:17:00 AM,1,N,
07/01/2014,FT20403G,FT20403G-1,32,8:05:00 AM,n_a,1,0,0,19.1,2,0,0,18.8,2,8:15:00 AM,1,N,Noise is plane fly by and pumping station 100m north
07/01/2014,FT20404G,FT20404G-1,32,5:30:00 AM,n_a,1,0,0,8,2,0,0,8.3,2,5:40:00 AM,0,N,
07/01/2014,FT20404S,FT20404S-1,28,5:50:00 AM,n_a,1,0,0,10.8,0,0,0,10.6,0,6:00:00 AM,1,N,
07/01/2014,FT20405G,FT20405G-1,32,6:50:00 AM,n_a,1,0,0,18.1,2,0,0,16.8,2,7:00:00 AM,1,N,Noise: traffic on Suncor's road
07/01/2014,FT20406G,FT20406G-1,32,7:40:00 AM,n_a,1,0,0,17.6,2,0,0,17.1,2,7:50:00 AM,1,N,Noise is from machinery south
07/01/2014,FT20407G,FT20407G-1,32,5:55:00 AM,n_a,1,0,0,13.8,2,0,0,10.6,2,6:05:00 AM,1,N,Well pad is 100 x 100m
07/01/2014,FT20407N,FT20407N-1,28,7:29:00 AM,n_a,1,0,0,17.6,0,0,0,17.2,0,7:39:00 AM,0,N,
07/01/2014,FT20407W,FT20407W-1,28,8:41:00 AM,n_a,1,0,0,19.9,0,0,0,20.6,0,8:51:00 AM,0,N,
07/01/2014,FT20408G,FT20408G-1,32,6:30:00 AM,n_a,1,0,0,13.4,2,0,0,12.4,2,6:40:00 AM,0,N,Well pad is 100 x 100m
07/01/2014,FT20408N,FT20408N-1,28,8:10:00 AM,n_a,1,0,0,19.4,0,0,0,19.1,0,8:20:00 AM,0,N,
07/01/2014,FT20408W,FT20408W-1,28,9:38:00 AM,n_a,1,1,0,20.9,0,1,0,21.4,0,9:48:00 AM,0,N,
07/01/2014,FT20409G,FT20409G-1,32,7:15:00 AM,n_a,1,0,0,18.4,2,0,0,17.6,2,7:25:00 AM,0,N,
07/01/2014,FT20490N,FT20490N-1,32,9:25:00 AM,n_a,1,0,0,22.1,1,2,0,22.5,1,9:35:00 AM,1,N,Paired up with 04S. Noise is road traffic (not contiunous)
06/10/2014,FT20601G,FT20601G-1,63,5:20:00 AM,n_a,1,0,0,6,3,0,0,6,3,5:30:00 AM,0,N,
06/09/2014,FT20602G,FT20602G-1,26,4:44:00 AM,n_a,1,2,0,13.2,2,2,0,10.8,2,4:54:00 AM,1,Y,NOISE IS DUE TO BOMBING/CONSTRUCTION NOISES IN THE NORTH. RECORDING MIGHT PICK UP MORE WIND DISTURBANCES SINCE I AM SURVEYING ON A PIPELINE
06/10/2014,FT20603G,FT20603G-1,63,7:30:00 AM,n_a,1,1,0,9,0,0,0,9,0,7:40:00 AM,0,N,
06/09/2014,FT20603N,FT20603N-1,28,7:42:00 AM,n_a,1,2,1,10.6,3,2,1,10.1,3,7:52:00 AM,0,Y,Light rain made birds very quiet
06/09/2014,FT20603W,FT20603W-1,28,4:31:00 AM,n_a,1,2,0,10.3,2,2,0,9.8,2,4:41:00 AM,0,Y,
06/10/2014,FT20604G,FT20604G-1,63,6:04:00 AM,n_a,1,0,0,7,3,0,0,7,3,6:14:00 AM,0,N,
06/09/2014,FT20605G,FT20605G-1,26,7:54:00 AM,n_a,1,1,3,12.1,3,0,2,10.5,3,8:04:00 AM,1,Y,NOISE IS DUE TO RAIN AND AIR TRAFFIC
06/09/2014,FT20605N,FT20605N-1,28,8:00:00 AM,n_a,1,2,1,10,3,1,1,9.9,3,8:10:00 AM,1,Y,
06/09/2014,FT20605S,FT20605S-1,28,6:46:00 AM,n_a,1,2,0,10.6,3,,,,,6:56:00 AM,0,Y,forgot to record weather at end of count
06/09/2014,FT20606G,FT20606G-1,26,6:05:00 AM,n_a,1,1,0,12.2,3,1,0,10.6,3,6:15:00 AM,1,Y,NOISE IS DUE TO AIR TRAFFIC AND DISTANT BOMBING/CONSTRUCTION
06/09/2014,FT20606N,FT20606N-1,28,8:30:00 AM,n_a,1,1,1,10.8,3,1,1,9.9,3,8:40:00 AM,1,Y,Rain light but steady; birds very quiet
06/09/2014,FT20606S,FT20606S-1,28,6:16:00 AM,n_a,1,1,0,9.6,3,0,0,9.1,3,6:26:00 AM,0,Y,
06/10/2014,FT20607G,FT20607G-1,63,6:30:00 AM,n_a,1,0,0,8,3,0,0,8,3,6:40:00 AM,0,N,GRAJ from previous PC heard but not counted
06/09/2014,FT20607N,FT20607N-1,28,5:46:00 AM,n_a,1,0,0,10.1,3,0,0,9.4,3,5:56:00 AM,0,Y,
06/09/2014,FT20607S,FT20607S-1,28,5:14:00 AM,n_a,1,2,0,9.2,2,2,0,9.8,2,5:24:00 AM,0,Y,
06/09/2014,FT20608G,FT20608G-1,26,7:09:00 AM,n_a,1,1,2,12,3,2,2,11.5,3,7:19:00 AM,1,Y,NO RECORDING DUE TO LIGHT RAIN. WIND GUSTING TO 3/4. NOISE DUE TO BOMBING/CONSTRUCTION IN THE DISTANCE. OVEN SINGING AFTER PC >100M IN QUADRANT 2
06/09/2014,FT20609G,FT20609G-1,26,6:35:00 AM,n_a,1,1,0,11.1,3,1,1,9.9,3,6:45:00 AM,1,Y,NOISE DUE TO DISTANT BOMBING/CONSTRUCTION IN THE NORTH
07/02/2014,FT20701G,FT20701G-1,28,7:03:00 AM,n_a,1,0,0,13.8,0,0,0,14.9,0,7:13:00 AM,0,N,
07/02/2014,FT20702G,FT20702G-1,28,6:38:00 AM,n_a,1,0,0,12.1,0,0,0,12,0,6:48:00 AM,0,N,
07/02/2014,FT20703G,FT20703G-1,28,6:06:00 AM,n_a,1,0,0,11.8,0,0,0,11.6,0,6:16:00 AM,0,N,
07/02/2014,FT20704G,FT20704G-1,28,5:36:00 AM,n_a,1,1,0,13.1,0,1,0,12.8,0,5:46:00 AM,0,N,
07/02/2014,FT20705G,FT20705G-1,28,8:04:00 AM,n_a,1,0,0,18.8,0,0,0,19.5,0,8:14:00 AM,1,N,noise at 9:00 for only ~20 sec due to jet engine (test run?)
07/02/2014,FT20706G,FT20706G-1,28,7:41:00 AM,n_a,1,0,0,16.8,0,0,0,16.6,0,7:51:00 AM,0,N,
07/02/2014,FT20706N,FT20706N-1,32,5:00:00 AM,n_a,1,0,0,11,2,0,0,9.8,2,5:10:00 AM,0,N,Cut line is 5m wide
07/02/2014,FT20706P,FT20706P-1,32,7:15:00 AM,n_a,1,0,0,15.4,0,0,0,20.4,0,7:25:00 AM,1,N,"Not a pipeline, but a well pad (50 x 50m). Noise: SOSA very noisy!"
07/02/2014,FT20707G,FT20707G-1,28,8:51:00 AM,n_a,1,0,0,22.4,0,0,0,23.6,0,9:01:00 AM,0,N,
07/02/2014,FT20707N,FT20707N-1,32,5:55:00 AM,n_a,1,0,0,9.6,1,0,0,9.5,1,6:05:00 AM,0,N,
07/02/2014,FT20707S,FT20707S-1,32,5:30:00 AM,n_a,1,0,0,10.6,2,0,0,9.3,1,5:40:00 AM,0,N,At the intersection of 3 cut lines (6 and 8m large respectively)
07/02/2014,FT20708G,FT20708G-1,28,8:27:00 AM,n_a,1,0,0,20.8,0,0,0,20.9,0,8:37:00 AM,0,N,
07/02/2014,FT20708N,FT20708N-1,32,6:30:00 AM,n_a,1,0,0,11.8,1,0,0,11.9,1,6:40:00 AM,1,N,Noise: Mosquitoes
07/02/2014,FT20708S,FT20708S-1,28,9:21:00 AM,n_a,1,0,0,26.7,0,0,0,29.3,0,9:31:00 AM,0,N,
07/02/2014,FT20709G,FT20709G-1,28,5:07:00 AM,n_a,1,0,0,12.7,0,0,0,11.2,0,5:17:00 AM,0,N,
07/02/2014,FT20709N,FT20709N-1,32,8:10:00 AM,n_a,1,0,0,22,0,0,0,19.6,0,8:20:00 AM,1,N,Noise: Mosquitoes
07/02/2014,FT20709W,FT20709W-1,32,8:35:00 AM,n_a,1,0,0,22.8,0,0,0,22.5,0,8:45:00 AM,1,N,Well pad is 100 x 100m with regen of Aw and Salix (2m height). Noise: Airplane (PC suspended) and flies
06/05/2014,FT20801G,FT20801G-1,26,4:53:00 AM,n_a,1,0,3,4.1,3,2,1,4.4,3,5:03:00 AM,2,Y,"AT MINUTE 4, HAD TO STOP THE RECORDING FOR 3 MINUTES DUE TO RAIN. - RECORDING IS NOW MISSING NOISE IS A 2 DUE TO NEARBY OIL CAMP AND ROADS. BAWW SINGING AFTER PC."
06/05/2014,FT20802G,FT20802G-1,26,5:25:00 AM,n_a,1,2,0,3.7,3,2,1,3.4,3,5:35:00 AM,2,Y,NOT RECORDING DUE TO WATER FALLING OFF OF TREE LEAVES. NOISE 2 DUE TO ROAD TRAFFIC NEARBY (AND OIL CAMP - EDGING TO 2.5 LEVEL) WIND GUSTING TO 3/4
06/05/2014,FT20803G,FT20803G-1,26,6:01:00 AM,n_a,1,2,0,4.5,3,2,0,3.5,3,6:11:00 AM,3,Y,"TRAIL WAS ~5M WIDE. NOISE IS 3 DUE TO CONSTRUCTION STIE NEARBY WITH TRUCKS HONKING, BACKING UP AND DRIVING JUST NORTH OF STATION. 2 OVEN BIRDS VISUALS BEFORE PC. DID NOT ORIENT RECORDER PROPERLY... IT FACED EAST DURING PC. WIND GUSTING TO 3/4"
06/05/2014,FT20804G,FT20804G-1,26,7:31:00 AM,n_a,1,2,0,3.8,3,2,0,3.7,3,7:41:00 AM,2,Y,NOISE IS DUE TO AIR TRAFFIC AND CONSTRUCTION
06/05/2014,FT20805G,FT20805G-1,26,7:02:00 AM,n_a,1,1,0,3.7,3,2,1,3.5,3,7:12:00 AM,2,Y,"NOISE DUE TO CONSTRUCTION SITE NEARBY (TRUCKS DRIVING, HONKING AND BACKING UP). RECORDING IN TWO PARTS DUE TO HELICOPTER CHECK-IN"
06/05/2014,FT20806G,FT20806G-1,26,6:36:00 AM,n_a,1,1,3,3.3,3,2,2,3.2,3,6:46:00 AM,3,Y,"ALL SEISMIC LINES ARE ~5M WIDE. NOISE IS DUE TO NEARBY CONSTRUCTION (TRUCKS DRIVING, HONKING AND BACKING UP). NO AUDIO RECORDING DUE TO LIGHT RAIN"
06/05/2014,FT20806N,FT20806N-1,63,9:39:00 AM,n_a,1,1,0,5,3,2,0,5,3,9:49:00 AM,2,Y,Industrial noise to N
06/05/2014,FT20806W,FT20806W-1,63,9:56:00 AM,n_a,1,3,0,6,3,3,0,6,3,10:06:00 AM,1,Y,
06/05/2014,FT20807G,FT20807G-1,26,8:05:00 AM,n_a,1,2,0,4.3,3,3,0,4.2,3,8:15:00 AM,1,Y,"NOISE DUE TO CONSTRUCTION SITE NEARBY (TRUCKS DRIVING, HONKING AND BACKING UP)."
06/05/2014,FT20807N,FT20807N-1,63,8:59:00 AM,n_a,1,1,0,6,3,2,0,6,3,9:09:00 AM,2,Y,"Industrial noise, wind gust to 3"
06/05/2014,FT20807S,FT20807S-1,63,9:19:00 AM,n_a,1,3,0,5,3,2,0,6,2,9:29:00 AM,2,Y,"Industrial noise, wind gust to 5"
06/05/2014,FT20808G,FT20808G-1,26,8:48:00 AM,n_a,1,2,0,5.2,3,1,0,5,3,8:58:00 AM,2,Y,NOISE IS DUE TO DISTANT CONSTRUCTION AND A STREAM THAT IS ~100M NE OF PC STATION
06/05/2014,FT20808N,FT20808N-1,63,8:18:00 AM,n_a,1,1,0,4,3,2,0,5,3,8:28:00 AM,3,Y,Industrial noise
06/05/2014,FT20808W,FT20808W-1,63,7:48:00 AM,n_a,1,2,0,4,3,2,0,4,3,7:58:00 AM,1,Y,
06/05/2014,FT20809G,FT20809G-1,26,9:19:00 AM,n_a,1,2,0,5.7,3,2,0,6.6,3,9:29:00 AM,2,Y,NOISE DUE TO CONSTRUCTION IN THE DISTANCE. SEISMIC LINE IS ~2M WIDE
06/05/2014,FT20809N,FT20809N-1,63,7:12:00 AM,n_a,1,1,0,6,3,0,0,6,3,7:22:00 AM,2,Y,Industrial noise
06/05/2014,FT20809W,FT20809W-1,63,6:48:00 AM,n_a,1,1,1,5,3,2,2,5,3,6:58:00 AM,2,Y,Industrial noise
06/05/2014,FT20810N,FT20810N-1,63,6:05:00 AM,n_a,1,1,0,5,3,1,0,5,3,6:15:00 AM,2,Y,
06/05/2014,FT20810S,FT20810S-1,63,6:29:00 AM,n_a,1,1,1,5,3,2,1,5,3,6:39:00 AM,1,Y,
06/05/2014,FT20811N,FT20811N-1,63,5:23:00 AM,n_a,1,1,0,4,3,1,0,4,3,5:33:00 AM,2,Y,noise from large creek in deep-ish valley NE of PC
06/05/2014,FT20811W,FT20811W-1,63,4:56:00 AM,n_a,1,1,1,4,3,1,0,4,3,5:06:00 AM,1,Y,
06/05/2014,FT20901G,FT20901G-1,87,4:37:00 AM,n_a,1,2,2,5.8,3,3,2,4.3,3,4:47:00 AM,2,N,"Booming/pounding of cannon, machinery.  The Wind picked up as I started from 0."
06/05/2014,FT20902G,FT20902G-1,87,5:14:00 AM,n_a,1,3,0,4.5,3,3,0,3.8,3,5:24:00 AM,2,N,"Intermitent cannon and machinery, gusts to 4 and 5 with tree clicking."
06/05/2014,FT20902N,FT20902N-1,28,4:42:00 AM,n_a,1,2,1,5.1,3,3,1,3.9,3,4:52:00 AM,1,Y,
06/05/2014,FT20902W,FT20902W-1,28,5:11:00 AM,n_a,1,2,0,4.3,3,3,1,4,3,5:21:00 AM,1,Y,"sustained gusts at BF3, rain periodically spitting"
06/05/2014,FT20903G,FT20903G-1,87,5:50:00 AM,n_a,1,2,0,4.8,3,3,0,4.3,3,6:00:00 AM,2,N,"Gusty wind, intermittent cannon."
06/05/2014,FT20903N,FT20903N-1,28,6:50:00 AM,n_a,1,3,0,4.5,3,2,0,5,3,7:00:00 AM,1,Y,
06/05/2014,FT20903W,FT20903W-1,28,6:08:00 AM,n_a,1,2,0,4.4,3,3,0,4.4,3,6:18:00 AM,1,Y,Mic sensitivity set to 60 due to wind
06/05/2014,FT20904G,FT20904G-1,28,8:48:00 AM,n_a,1,2,0,7.1,3,3,0,6.8,2,8:58:00 AM,1,Y,Female DEJU flushed from nest >50m of nest upon arrival at site (4 eggs)
06/05/2014,FT20904N,FT20904N-1,28,7:59:00 AM,n_a,1,2,0,6.1,3,2,0,6.1,3,8:09:00 AM,1,Y,
06/05/2014,FT20904W,FT20904W-1,28,7:25:00 AM,n_a,1,1,0,5.8,3,2,0,5.6,3,7:35:00 AM,1,Y,
06/05/2014,FT20905G,FT20905G-1,87,8:40:00 AM,n_a,1,3,0,5.7,3,3,0,7.4,3,8:50:00 AM,2,N,"Intermittent pounding, cannon, and machinery.  Wind gusts to 4.  A RESQ called in SW within 50m just before the PC."
06/05/2014,FT20905W,FT20905W-1,32,6:55:00 AM,n_a,1,3,0,5,3,2,0,5.3,3,7:05:00 AM,1,Y,Noise is from trucks and mine in the distance. Well pad is 40 x 40m
06/05/2014,FT20906G,FT20906G-1,87,6:31:00 AM,n_a,1,3,0,6.4,3,3,0,5.9,3,6:41:00 AM,2,N,Intermittent cannon shots and gusty wind.
06/05/2014,FT20906N,FT20906N-1,32,8:08:00 AM,n_a,1,2,0,6.6,3,2,0,6.6,3,8:18:00 AM,0,Y,
06/05/2014,FT20906W,FT20906W-1,32,5:45:00 AM,n_a,1,2,0,4.5,3,2,0,4.2,3,5:55:00 AM,1,Y,"Check recording for YWAR? Noise is trucks unloading in the distance. Well pad is grassy, wet and regen of Salix."
06/05/2014,FT20907G,FT20907G-1,87,9:25:00 AM,n_a,1,3,0,11.9,3,3,0,9.7,3,9:35:00 AM,1,N,Machinery and wind gusts to 4.
06/05/2014,FT20907N,FT20907N-1,32,8:40:00 AM,n_a,1,2,0,8,3,2,0,7,3,8:50:00 AM,0,Y,
06/05/2014,FT20907S,FT20907S-1,32,9:05:00 AM,n_a,1,2,0,6.9,3,3,0,7.2,3,9:15:00 AM,1,Y,Helicopter in the distance. Quiest in general. SL is 6-7m wide.
06/05/2014,FT20908G,FT20908G-1,87,7:58:00 AM,n_a,1,3,0,8.7,3,3,0,8.5,3,8:08:00 AM,2,N,"Intermitent cannon and machinery, gusts to 4."
06/05/2014,FT20909G,FT20909G-1,87,7:15:00 AM,n_a,1,2,0,6.8,3,3,0,7,3,7:25:00 AM,2,N,Wind gusts to 3+ and booming sounds.
06/05/2014,FT20911N,FT20911N-1,32,5:13:00 AM,n_a,1,3,0,4.1,3,3,0,4.1,3,5:23:00 AM,1,Y,
06/05/2014,FT20911P,FT20911P-1,32,4:47:00 AM,n_a,1,3,0,4.1,3,3,0,4.1,3,4:57:00 AM,1,Y,
06/05/2014,FT20990N,FT20990N-1,32,7:27:00 AM,n_a,1,1,0,5.6,3,1,0,5.5,3,7:37:00 AM,1,Y,Point 5N within cut block of Shell leased area (innacessible). Point changed to different location and similar habitat. Noise: few heavy trucks in the distance.
6/30/2014,FT21201G,FT21201G-1,28,6:22:00 AM,n_a,1,0,0,12.7,0,0,0,12.4,0,6:32:00 AM,1,N,
6/30/2014,FT21202G,FT21202G-1,28,5:57:00 AM,n_a,1,0,0,12.5,0,0,0,11.3,0,6:07:00 AM,1,N,
6/30/2014,FT21203G,FT21203G-1,28,5:26:00 AM,n_a,1,0,0,11.8,0,0,0,11.1,0,5:36:00 AM,1,N,
6/30/2014,FT21204G,FT21204G-1,28,5:03:00 AM,n_a,1,0,0,11.6,0,0,0,9.9,0,5:13:00 AM,1,N,
6/30/2014,FT21204W,FT21204W-1,32,8:30:00 AM,n_a,1,,,20.3,,3,0,20.3,0,8:40:00 AM,1,N,No start weather data
